,ABT
2004-06-02,30757041090
2004-06-03,30725831510
2004-06-04,31162765630
2004-06-07,31584094959
2004-06-08,31880585970
2004-06-09,31786957230
2004-06-10,31880585970
2004-06-14,31802562020
2004-06-15,32099053030
2004-06-16,31974214709
2004-06-17,32239496140
2004-06-18,32099053030
2004-06-21,31771352440
2004-06-22,31365627900
2004-06-23,31318813530
2004-06-24,31287603950
2004-06-25,30273292599
2004-06-28,30444945290
2004-06-29,30835065040
2004-06-30,30419610000
2004-07-01,30388410400
2004-07-02,30294811600
2004-07-06,29702019200
2004-07-07,29546021200
2004-07-08,30060814600
2004-07-09,29780018200
2004-07-12,30154413399
2004-07-13,30060814600
2004-07-14,29686419400
2004-07-15,29686419400
2004-07-16,29187225800
2004-07-19,29202825600
2004-07-20,29374423399
2004-07-21,28922029200
2004-07-22,29312024200
2004-07-23,28828430400
2004-07-26,28734831600
2004-07-27,29249625000
2004-07-28,29140426400
2004-07-29,29218425400
2004-07-30,29374423399
2004-08-02,29296424400
2004-08-03,29234025199
2004-08-04,29202825600
2004-08-05,28890829600
2004-08-06,28875229800
2004-08-09,28625633000
2004-08-10,29140426400
2004-08-11,29686419400
2004-08-12,29577220800
2004-08-13,29546021200
2004-08-16,29858017200
2004-08-17,29858017200
2004-08-18,30294811600
2004-08-19,30388410400
2004-08-20,30606807600
