,OTIS
2024-05-28,38595300000
2024-05-29,38408908000
2024-05-30,39057228000
2024-05-31,40195840000
2024-06-03,40045916000
2024-06-04,40199892000
2024-06-05,40836056000
2024-06-06,40280932000
2024-06-07,39977032000
2024-06-10,39608300000
2024-06-11,39101800000
2024-06-12,39486740000
2024-06-13,39482688000
2024-06-14,39357076000
2024-06-17,39494844000
2024-06-18,39101800000
2024-06-20,39142320000
2024-06-21,38866784000
2024-06-24,39251724000
2024-06-25,38761432000
2024-06-26,38797900000
2024-06-27,38899200000
2024-06-28,39004552000
2024-07-01,38473740000
2024-07-02,38878940000
2024-07-03,39105852000
2024-07-05,39255776000
2024-07-08,39466480000
2024-07-09,39024812000
2024-07-10,39251724000
2024-07-11,40212048000
2024-07-12,40605092000
2024-07-15,40293088000
2024-07-16,40366024000
2024-07-17,40086436000
2024-07-18,39997292000
2024-07-19,39600196000
2024-07-22,40076463000
2024-07-23,39637302000
2024-07-24,36837147000
2024-07-25,37481787000
2024-07-26,37663092000
2024-07-29,37481787000
2024-07-30,37800078000
2024-07-31,38074050000
2024-08-01,37993470000
2024-08-02,37989441000
2024-08-05,37638918000
2024-08-06,37626831000
2024-08-07,37256163000
2024-08-08,37320627000
2024-08-09,37630860000
