,DRI
2003-11-17,2989637000
2003-11-18,2940166999
2003-11-19,2902240000
2003-11-20,2864313000
2003-11-21,2930273000
2003-11-24,2995007999
2003-11-25,3029490000
2003-11-26,3034416000
2003-11-28,3044268000
2003-12-01,3080392000
2003-12-02,3009785999
2003-12-03,2991724000
2003-12-04,2958884000
2003-12-05,2947390000
2003-12-08,2952316000
2003-12-09,2945748000
2003-12-10,3001576000
2003-12-11,2932612000
2003-12-12,2878426000
2003-12-15,2912907999
2003-12-16,2868574000
2003-12-17,2850512000
2003-12-18,2940822000
2003-12-19,2976946000
2003-12-22,2998292000
2003-12-23,3073824000
2003-12-24,3022922000
2003-12-26,3014712000
2003-12-29,3052478000
2003-12-30,3098454000
2003-12-31,3093528000
2004-01-02,3072182000
2004-01-05,3078750000
2004-01-06,3070540000
2004-01-07,2793042000
2004-01-08,2832450000
2004-01-09,2825882000
2004-01-12,2903056000
2004-01-13,2893204000
2004-01-14,2988440000
2004-01-15,2976946000
2004-01-16,3006502000
2004-01-20,2968735999
2004-01-21,3001576000
2004-01-22,2993366000
2004-01-23,3011428000
2004-01-26,2955600000
2004-01-27,2939180000
2004-01-28,2926044000
2004-01-29,2968735999
2004-01-30,2940822000
2004-02-02,3052478000
2004-02-03,3198616000
2004-02-04,3219962000
2004-02-05,3226530000
2004-02-06,3226530000
2004-02-09,3234740000
2004-02-10,3257728000
2004-02-11,3241307999
2004-02-12,3264296000
2004-02-13,3262654000
2004-02-17,3287284000
2004-02-18,3300420000
2004-02-19,3241307999
2004-02-20,3238024000
2004-02-23,3171960000
2004-02-24,3125502000
2004-02-25,3175164000
2004-02-26,3356190000
2004-02-27,3500370000
2004-03-01,3530808000
2004-03-02,3559644000
2004-03-03,3529206000
2004-03-04,3575664000
2004-03-05,3639744000
2004-03-08,3610908000
2004-03-09,3586878000
2004-03-10,3495564000
2004-03-11,3485952000
2004-03-12,3521196000
2004-03-15,3481146000
2004-03-16,3490758000
2004-03-17,3585276000
2004-03-18,3477942000
2004-03-19,3485952000
2004-03-22,3505176000
2004-03-23,3580470000
2004-03-24,3519594000
2004-03-25,3572460000
2004-03-26,3517992000
2004-03-29,3551634000
2004-03-30,3559644000
2004-03-31,3556440000
2004-04-01,3455514000
2004-04-02,3436290000
2004-04-05,3442697999
2004-04-06,3431484000
2004-04-07,3455514000
2004-04-08,3431484000
2004-04-12,3452310000
2004-04-13,3364200000
2004-04-14,3336965999
2004-04-15,3320946000
2004-04-16,3423474000
2004-04-19,3412260000
2004-04-20,3373812000
2004-04-21,3340170000
2004-04-22,3421872000
2004-04-23,3429882000
2004-04-26,3325752000
2004-04-27,3312936000
2004-04-28,3306528000
2004-04-29,3269682000
2004-04-30,3250458000
2004-05-03,3234438000
2004-05-04,3226428000
2004-05-05,3250458000
2004-05-06,3175164000
2004-05-07,3149532000
2004-05-10,3147930000
2004-05-11,3195990000
2004-05-12,3135114000
2004-05-13,3107880000
2004-05-14,3155940000
2004-05-17,3104676000
2004-05-18,3109482000
2004-05-19,3106278000
2004-05-20,3138318000
2004-05-21,3123900000
2004-05-24,3106278000
2004-05-25,3133512000
2004-05-26,3162347999
2004-05-27,3147930000
2004-05-28,3228030000
2004-06-01,3156728000
2004-06-02,3107872000
2004-06-03,3079504000
2004-06-04,3049560000
2004-06-07,3076352000
2004-06-08,3055864000
2004-06-09,3019616000
2004-06-10,2999128000
2004-06-14,2970760000
2004-06-15,2999128000
2004-06-16,3010160000
2004-06-17,2988096000
2004-06-18,3014888000
2004-06-21,3055864000
2004-06-22,3055864000
2004-06-23,2991248000
2004-06-24,2937664000
2004-06-25,2907720000
2004-06-28,2880928000
2004-06-29,2871472000
2004-06-30,2899840000
2004-07-01,2887232000
2004-07-02,2868320000
2004-07-06,2858864000
2004-07-07,2852560000
2004-07-08,2857288000
2004-07-09,2899840000
2004-07-12,2956576000
2004-07-13,2962880000
2004-07-14,2964456000
2004-07-15,3013312000
2004-07-16,3014888000
2004-07-19,3029072000
2004-07-20,3052712000
2004-07-21,3027496000
2004-07-22,3036952000
2004-07-23,3035376000
2004-07-26,3044832000
2004-07-27,3025920000
2004-07-28,3016464000
2004-07-29,3029072000
2004-07-30,3010160000
2004-08-02,3018040000
2004-08-03,2991248000
2004-08-04,2986520000
2004-08-05,2871472000
2004-08-06,2838376000
2004-08-09,2839952000
2004-08-10,2844680000
2004-08-11,2808432000
2004-08-12,2737512000
2004-08-13,2740664000
2004-08-16,2780064000
2004-08-17,2773760000
2004-08-18,2827344000
2004-08-19,2789520000
2004-08-20,2854136000
