,MCK
2003-11-14,8691490000
2003-11-17,8647960000
2003-11-18,8430310000
2003-11-19,8528978000
2003-11-20,8349054000
2003-11-21,8201052000
2003-11-24,8372270000
2003-11-25,8343250000
2003-11-26,8401290000
2003-11-28,8473840000
2003-12-01,8656666000
2003-12-02,8880120000
2003-12-03,8752432000
2003-12-04,8810472000
2003-12-05,8807570000
2003-12-08,8891728000
2003-12-09,8941062000
2003-12-10,8906238000
2003-12-11,8885924000
2003-12-12,8987494000
2003-12-15,8964278000
2003-12-16,9068750000
2003-12-17,9077456000
2003-12-18,9155810000
2003-12-19,9109378000
2003-12-22,9190634000
2003-12-23,9068750000
2003-12-24,9022318000
2003-12-26,8999102000
2003-12-29,9039730000
2003-12-30,9025220000
2003-12-31,9326399999
2004-01-02,8949400000
2004-01-05,8763800000
2004-01-06,8697100000
2004-01-07,8746400000
2004-01-08,8676800000
2004-01-09,8618800000
2004-01-12,8549200000
2004-01-13,8389700000
2004-01-14,8610100000
2004-01-15,8749300000
2004-01-16,8734800000
2004-01-20,8766700000
2004-01-21,8961000000
2004-01-22,9129200000
2004-01-23,8497000000
2004-01-26,8526000000
2004-01-27,8412900000
2004-01-28,8410000000
2004-01-29,8511500000
2004-01-30,8520200000
2004-02-02,8499900000
2004-02-03,8595600000
2004-02-04,8439000000
2004-02-05,8407100000
2004-02-06,8534700000
2004-02-09,8352000000
2004-02-10,8253400000
2004-02-11,8265000000
2004-02-12,8299800000
2004-02-13,8296900000
2004-02-17,8294000000
2004-02-18,8331700000
2004-02-19,8244700000
2004-02-20,8178000000
2004-02-23,8033000000
2004-02-24,8076500000
2004-02-25,8041700000
2004-02-26,8085200000
2004-02-27,7919900000
2004-03-01,8067800000
2004-03-02,8035900000
2004-03-03,8047500000
2004-03-04,7946000000
2004-03-05,8244700000
2004-03-08,8244700000
2004-03-09,8093900000
2004-03-10,8183800000
2004-03-11,8108400000
2004-03-12,8134500000
2004-03-15,8062000000
2004-03-16,8134500000
2004-03-17,8192500000
2004-03-18,8198300000
2004-03-19,8050400000
2004-03-22,8035900000
2004-03-23,8041700000
2004-03-24,7995300000
2004-03-25,8195400000
2004-03-26,8526000000
2004-03-29,8676800000
2004-03-30,8627500000
2004-03-31,8756190000
2004-04-01,8671800000
2004-04-02,8840580000
2004-04-05,8962800000
2004-04-06,8916240000
2004-04-07,8991900000
2004-04-08,9061740000
2004-04-12,9119940000
2004-04-13,8956980000
2004-04-14,8919150000
2004-04-15,9122850000
2004-04-16,9277080000
2004-04-19,9288720000
2004-04-20,9003540000
2004-04-21,9457500000
2004-04-22,9277080000
2004-04-23,9288720000
2004-04-26,9114120000
2004-04-27,8962800000
2004-04-28,8799840000
2004-04-29,8756190000
2004-04-30,9562260000
2004-05-03,9733950000
2004-05-04,9870720000
2004-05-05,9824160000
2004-05-06,9879450000
2004-05-07,9661200000
2004-05-10,9445860000
2004-05-11,9428400000
2004-05-12,9562260000
2004-05-13,9748500000
2004-05-14,9879450000
2004-05-17,9818340000
2004-05-18,9780510000
2004-05-19,9864900000
2004-05-20,9707760000
2004-05-21,9780510000
2004-05-24,9736860000
2004-05-25,10167540000
2004-05-26,10141350000
2004-05-27,9972570000
2004-05-28,10010400000
2004-06-01,10013309999
2004-06-02,9981300000
2004-06-03,9856170000
2004-06-04,9891090000
2004-06-07,10109340000
2004-06-08,10103520000
2004-06-09,10138440000
2004-06-10,10170450000
2004-06-14,10120980000
2004-06-15,10222830000
2004-06-16,10263570000
2004-06-17,10417800000
2004-06-18,10231559999
2004-06-21,10185000000
2004-06-22,10027860000
2004-06-23,10036590000
2004-06-24,9958020000
2004-06-25,9870720000
2004-06-28,9748500000
2004-06-29,9966750000
2004-06-30,10058690000
2004-07-01,9071280000
2004-07-02,8933570000
2004-07-06,8869110000
2004-07-07,8977520000
2004-07-08,8822230000
2004-07-09,8687450000
2004-07-12,8666940000
2004-07-13,8719680000
2004-07-14,8728470000
2004-07-15,8801720000
2004-07-16,8910130000
2004-07-19,8921850000
2004-07-20,9373070000
2004-07-21,9346700000
2004-07-22,9449250000
2004-07-23,9405300000
2004-07-26,9311540000
2004-07-27,9194340000
2004-07-28,9194340000
2004-07-29,9340840000
2004-07-30,9425810000
2004-08-02,9399440000
2004-08-03,9182620000
2004-08-04,9191410000
2004-08-05,8965800000
2004-08-06,8842740000
2004-08-09,8775350000
2004-08-10,8790000000
2004-08-11,8921850000
