,GP
2020-01-22,26573765
2020-01-23,26325614
2020-01-24,28051883
2020-01-27,28051883
2020-01-28,27843760
2020-01-31,29814836
2020-02-03,27307430
2020-02-04,28801732
2020-02-05,28205953
2020-02-06,27070067
2020-02-07,26379560
2020-02-10,26805085
2020-02-13,26438900
2020-02-14,26444295
2020-02-18,26972965
2020-02-19,26972965
2020-02-20,26357981
2020-02-25,26972965
2020-02-26,27523213
2020-02-27,26972965
2020-02-28,25894046
2020-03-02,28051883
2020-03-03,27674262
2020-03-04,27102435
2020-03-05,27059278
2020-03-06,24059885
2020-03-09,21459691
2020-03-10,19744210
2020-03-11,21578372
2020-03-12,16291671
2020-03-13,18805551
2020-03-16,16183779
2020-03-17,16183779
2020-03-18,15104860
2020-03-19,14025941
2020-03-23,12839131
2020-03-24,12839131
2020-03-25,13864104
2020-03-26,14835130
2020-03-30,15029336
2020-03-31,17802157
2020-04-01,17892636
2020-04-02,17014270
2020-04-03,17241994
2020-04-06,14747869
2020-04-07,15235850
2020-04-08,13359835
2020-04-09,17090612
2020-04-13,17838416
2020-04-14,17892636
2020-04-15,17751664
2020-04-16,17849260
2020-04-17,18933662
2020-04-20,21832269
2020-04-21,20603641
2020-04-22,21579603
2020-04-27,23292959
2020-04-28,21904924
2020-04-29,23726720
2020-04-30,23954444
2020-05-01,22100116
2020-05-04,22100116
2020-05-05,22501345
2020-05-06,22870042
2020-05-07,22718226
2020-05-08,22772446
2020-05-11,22664005
2020-05-12,22664005
2020-05-13,22664005
2020-05-14,33833348
2020-05-15,26990770
2020-05-18,29278859
2020-05-19,29278859
2020-05-20,29278859
2020-05-21,30363261
2020-05-22,30363261
2020-05-26,27478751
2020-05-27,27478751
2020-05-28,29278859
2020-05-29,29278859
2020-06-01,29278859
2020-06-02,30254821
2020-06-03,30937994
2020-06-04,30493389
2020-06-05,29278859
2020-06-08,31447663
2020-06-09,34700870
2020-06-10,37129931
2020-06-11,33616468
2020-06-12,35785272
2020-06-15,36869674
2020-06-16,36284097
2020-06-17,37823948
2020-06-18,35785272
2020-06-19,36002153
2020-06-22,33616468
2020-06-23,34700870
