,INVH
2020-09-15,16206916945
2020-09-16,16218128925
2020-09-17,16049949226
2020-09-18,15881769528
2020-09-21,15461320282
2020-09-22,15539804141
2020-09-23,14822237427
2020-09-24,15113748905
2020-09-25,15461320282
2020-09-28,15999495317
2020-09-29,15696771860
2020-09-30,15785464599
2020-10-01,16225359647
2020-10-02,16529902373
2020-10-05,16648335655
2020-10-06,16586299174
2020-10-07,16484784932
2020-10-08,16845724458
2020-10-09,16710372136
2020-10-12,16749849897
2020-10-13,16287396128
2020-10-14,16061808924
2020-10-15,16044889884
2020-10-16,15757266199
2020-10-19,15604994836
2020-10-20,15762905879
2020-10-21,15847501081
2020-10-22,16236639007
2020-10-23,16394550050
2020-10-26,16152043806
2020-10-27,15819302680
2020-10-28,15407606033
2020-10-29,15452723474
2020-10-30,15373767952
2020-11-02,15599355156
2020-11-03,15791104280
2020-11-04,16253558048
2020-11-05,16338153249
2020-11-06,16338153249
2020-11-09,15559877395
2020-11-10,15819302680
2020-11-11,16383270690
2020-11-12,16202800927
2020-11-13,16450946851
2020-11-16,16422748451
2020-11-17,16242278688
2020-11-18,15954655002
2020-11-19,15836221720
2020-11-20,15932096282
2020-11-23,15875699481
2020-11-24,16129485086
2020-11-25,16496064292
2020-11-27,16219719967
2020-11-30,16118205725
2020-12-01,16496064292
2020-12-02,16287396128
2020-12-03,16569380133
2020-12-04,17054392622
2020-12-07,16716011816
2020-12-08,16614497574
2020-12-09,16462226211
2020-12-10,16304315169
2020-12-11,16332513569
2020-12-14,16230999327
2020-12-15,16541181733
2020-12-16,16462226211
2020-12-17,16512983332
2020-12-18,16005412123
2020-12-21,16180242206
2020-12-22,16366351650
2020-12-23,16152043806
2020-12-24,16417108771
2020-12-28,16546821413
2020-12-29,16417108771
2020-12-30,16653975335
2020-12-31,16851052409
2021-01-04,16215591847
2021-01-05,16470910823
2021-01-06,16510627108
2021-01-07,16419847027
2021-01-08,16641123473
2021-01-11,16482258333
2021-01-12,16300698172
2021-01-13,16243960622
2021-01-14,16425520782
2021-01-15,16788641104
2021-01-19,16703534778
2021-01-20,17038286325
2021-01-21,17072328855
2021-01-22,17032612570
2021-01-25,16834031144
2021-01-26,16879421184
2021-01-27,16289350662
2021-01-28,16459563313
2021-01-29,16726229798
2021-02-01,17259562770
2021-02-02,17168782690
2021-02-03,17015591304
2021-02-04,17083676365
2021-02-05,17032612570
2021-02-08,17072328855
2021-02-09,17293605300
2021-02-10,17333321586
2021-02-11,17492186726
2021-02-12,17588640562
2021-02-16,17543250521
2021-02-17,17219846485
2021-02-18,16896442449
2021-02-19,17009917549
2021-02-22,16737577309
2021-02-23,16936158734
2021-02-24,16947506244
2021-02-25,16856726164
2021-02-26,16533322128
2021-03-01,16635449718
2021-03-02,16618428453
2021-03-03,16255308132
2021-03-04,16136159276
2021-03-05,16124811766
2021-03-08,16164528051
2021-03-09,16385804497
2021-03-10,16624102208
2021-03-11,16856726164
2021-03-12,17497860481
2021-03-15,17792895742
2021-03-16,17662399377
2021-03-17,17582966806
2021-03-18,17639704357
2021-03-19,17367364116
2021-03-22,17639704357
2021-03-23,17617009337
2021-03-24,17645378112
2021-03-25,17974455903
2021-03-26,18326228714
2021-03-29,18269491164
2021-03-30,18297859939
2021-03-31,18168127789
2021-04-01,18554321190
2021-04-05,18372583119
2021-04-06,18656548855
2021-04-07,18469131469
2021-04-08,18418017636
2021-04-09,18383941748
2021-04-12,18457772840
2021-04-13,18582717763
2021-04-14,18503207357
2021-04-15,18775814464
2021-04-16,18934835276
2021-04-19,19099535403
2021-04-20,19298311418
2021-04-21,19224480327
2021-04-22,19213121697
2021-04-23,19275594159
2021-04-26,19224480327
2021-04-27,19258556215
2021-04-28,19394859768
