,HRB
2004-05-10,7482007276
2004-05-11,7578872549
2004-05-12,7699119095
2004-05-13,7548810913
2004-05-14,7612274367
2004-05-17,7558831458
2004-05-18,7695778913
2004-05-19,7809345095
2004-05-20,7802664731
2004-05-21,7849427277
2004-05-24,7886169277
2004-05-25,8029797095
2004-05-26,8123322186
2004-05-27,8140023095
2004-05-28,8160064186
2004-06-01,8036477458
2004-06-02,7979694367
2004-06-03,7836066549
2004-06-04,7866128186
2004-06-07,7956313095
2004-06-08,7929591640
2004-06-09,7822705822
2004-06-10,7872808549
2004-06-14,7715820004
2004-06-15,7785963822
2004-06-16,7849427277
2004-06-17,7929591640
2004-06-18,7959653277
2004-06-21,8053178368
2004-06-22,7979694367
2004-06-23,8029797095
2004-06-24,8026456913
2004-06-25,8133342731
2004-06-28,8096600731
2004-06-29,7976354186
2004-06-30,7962993458
2004-07-01,7976354186
2004-07-02,8013096186
2004-07-06,7979694367
2004-07-07,7956313095
2004-07-08,7859447822
2004-07-09,7819365640
2004-07-12,7919571095
2004-07-13,8016436368
2004-07-14,7993055095
2004-07-15,8096600731
2004-07-16,8190125822
2004-07-19,8200146368
2004-07-20,8236888368
2004-07-21,8243568731
2004-07-22,8160064186
2004-07-23,8096600731
2004-07-26,8119982004
2004-07-27,8123322186
2004-07-28,8200146368
2004-07-29,8200146368
2004-07-30,8206826731
2004-08-02,8148663279
2004-08-03,8076201440
2004-08-04,8151957000
2004-08-05,7964214960
2004-08-06,8039970520
2004-08-09,8020208200
2004-08-10,8250768600
2004-08-11,8175013040
2004-08-12,8069614000
2004-08-13,8049851680
2004-08-16,8188187920
2004-08-17,8247474880
2004-08-18,8326524160
2004-08-19,8277118360
2004-08-20,8267237200
