,KMI
2015-07-15,82788740000
2015-07-16,82392200000
2015-07-17,81268670000
2015-07-20,79968900000
2015-07-21,78955520000
2015-07-22,77898080000
2015-07-23,76994850000
2015-07-24,76774550000
2015-07-27,77589660000
2015-07-28,78360710000
2015-07-29,77633720000
2015-07-30,77171090000
2015-07-31,76311920000
2015-08-03,74351250000
2015-08-04,74152980000
2015-08-05,71024720000
2015-08-06,72016070000
2015-08-07,70804420000
2015-08-10,71597500000
2015-08-11,72456670000
2015-08-12,74571550000
2015-08-13,73007420000
2015-08-14,74813880000
2015-08-17,75695080000
2015-08-18,74769820000
2015-08-19,73976740000
2015-08-20,72016070000
2015-08-21,70033370000
2015-08-24,66706840000
2015-08-25,65935790000
2015-08-26,67830370000
2015-08-27,70496000000
2015-08-28,71883890000
2015-08-31,71399230000
2015-09-01,69152170000
2015-09-02,68975930000
2015-09-03,68469240000
2015-09-04,67786310000
2015-09-08,68491270000
2015-09-09,67499920000
2015-09-10,67191500000
2015-09-11,66310300000
2015-09-14,65781580000
2015-09-15,66508570000
2015-09-16,67610070000
2015-09-17,67918490000
2015-09-18,66927140000
2015-09-21,67566010000
2015-09-22,66332330000
2015-09-23,64019180000
2015-09-24,64636020000
2015-09-25,64812260000
2015-09-28,60692650000
