,ZTS
2016-03-29,21447844880
2016-03-30,21895503980
2016-03-31,22049697670
2016-04-01,22377981010
2016-04-04,22710688000
2016-04-05,22755355000
2016-04-06,23460101000
2016-04-07,23420397000
2016-04-08,23296322000
2016-04-11,23162321000
2016-04-12,23331063000
2016-04-13,23574250000
2016-04-14,23658621000
2016-04-15,23876993000
2016-04-18,24105291000
2016-04-19,24100328000
2016-04-20,24055661000
2016-04-21,24040772000
2016-04-22,24140032000
2016-04-25,23484916000
2016-04-26,23628843000
2016-04-27,23554398000
2016-04-28,23420397000
2016-04-29,23340989000
2016-05-02,23837289000
2016-05-03,23896845000
2016-05-04,23350915000
2016-05-05,23941512000
2016-05-06,23494842000
2016-05-09,23574250000
2016-05-10,23107728000
2016-05-11,22829800000
2016-05-12,22953875000
2016-05-13,23023357000
2016-05-16,23211951000
2016-05-17,23077950000
2016-05-18,23306248000
2016-05-19,23043209000
2016-05-20,23355878000
2016-05-23,23028320000
2016-05-24,23470027000
2016-05-25,23326100000
2016-05-26,23489879000
2016-05-27,23415434000
2016-05-31,23534546000
2016-06-01,23747955000
2016-06-02,23886919000
2016-06-03,23787659000
2016-06-06,24025883000
2016-06-07,23996105000
2016-06-08,24045735000
2016-06-09,23891882000
2016-06-10,23519657000
2016-06-13,22924097000
2016-06-14,23420397000
2016-06-15,23435286000
2016-06-16,23455138000
2016-06-17,23048172000
2016-06-20,23281433000
2016-06-21,23470027000
2016-06-22,23489879000
2016-06-23,23772770000
2016-06-24,23082913000
2016-06-27,22541946000
2016-06-28,23038246000
2016-06-29,23445212000
2016-06-30,23554398000
2016-07-01,23549435000
2016-07-05,23522000000
2016-07-06,23814168000
2016-07-07,23616088000
2016-07-08,24017200000
2016-07-11,23913208000
2016-07-12,24200424000
2016-07-13,24358888000
2016-07-14,24750096000
2016-07-15,24601536000
2016-07-18,24621344000
2016-07-19,24448024000
2016-07-20,24883800000
2016-07-21,24829328000
2016-07-22,24888752000
2016-07-25,24755048000
2016-07-26,24720384000
2016-07-27,24685720000
2016-07-28,24789712000
2016-07-29,24992744000
2016-08-01,24958080000
2016-08-02,24621344000
2016-08-03,25359192000
2016-08-04,25458232000
2016-08-05,25299768000
2016-08-08,25156160000
2016-08-09,25220536000
2016-08-10,25656312000
2016-08-11,25785064000
2016-08-12,25740496000
2016-08-15,25938576000
2016-08-16,25794968000
2016-08-17,25898960000
2016-08-18,25894008000
2016-08-19,26017808000
2016-08-22,25369096000
2016-08-23,25379000000
2016-08-24,25071976000
2016-08-25,24992744000
2016-08-26,25136352000
2016-08-29,25136352000
2016-08-30,25131400000
2016-08-31,25304720000
2016-09-01,25309672000
2016-09-02,25383952000
2016-09-06,25398808000
2016-09-07,25770208000
2016-09-08,25458232000
2016-09-09,24953128000
2016-09-12,25329480000
2016-09-13,24918464000
2016-09-14,25032360000
2016-09-15,25116544000
2016-09-16,25012552000
2016-09-19,24918464000
2016-09-20,25057120000
2016-09-21,25284912000
2016-09-22,25567176000
2016-09-23,25507752000
2016-09-26,25359192000
2016-09-27,25686024000
2016-09-28,25626600000
2016-09-29,25265104000
2016-09-30,25755352000
2016-10-03,25862279520
2016-10-04,25837582920
2016-10-05,25773371760
2016-10-06,25511587800
2016-10-07,25610374200
2016-10-10,26025277080
2016-10-11,25170774720
2016-10-12,25397983440
2016-10-13,25200410640
2016-10-14,24785507760
2016-10-17,24711417960
2016-10-18,25220167920
2016-10-19,25244864520
2016-10-20,25338711600
2016-10-21,25160896080
2016-10-24,25205349960
2016-10-25,24691660680
2016-10-26,24089063640
2016-10-27,24089063640
2016-10-28,23985337920
2016-10-31,23609949600
2016-11-01,23338287000
2016-11-02,24750932520
2016-11-03,24177971400
2016-11-04,24666964080
2016-11-07,24686721360
2016-11-08,24859597560
2016-11-09,25190532000
2016-11-10,25234985880
2016-11-11,24997898520
2016-11-14,24182910720
2016-11-15,24276757800
2016-11-16,24123638880
2016-11-17,24306393720
2016-11-18,24642267480
2016-11-21,24696600000
2016-11-22,24513845160
2016-11-23,24785507760
2016-11-25,24785507760
2016-11-28,24770689800
2016-11-29,24918869400
2016-11-30,24884294160
2016-12-01,24281697120
2016-12-02,24252061200
2016-12-05,24607692240
2016-12-06,24805265040
2016-12-07,25318954320
2016-12-08,25526405760
2016-12-09,25630131480
2016-12-12,25151017440
2016-12-13,25215228600
2016-12-14,25111502880
2016-12-15,25842522240
2016-12-16,25911672720
2016-12-19,25877097480
2016-12-20,26227789200
2016-12-21,26237667840
2016-12-22,26306818320
2016-12-23,26563662960
2016-12-27,26534027040
2016-12-28,26395726080
2016-12-29,26484633840
2016-12-30,26440179960
2017-01-03,26387716000
2017-01-04,26643764000
2017-01-05,26555132000
2017-01-06,26638840000
2017-01-09,26564980000
2017-01-10,26555132000
2017-01-11,26249844000
2017-01-12,26289236000
2017-01-13,26461576000
2017-01-17,26205528000
2017-01-18,26244920000
2017-01-19,26343400000
2017-01-20,26574828000
2017-01-23,26466500000
2017-01-24,26481272000
2017-01-25,26589600000
2017-01-26,26510816000
2017-01-27,26909660000
2017-01-30,26722548000
2017-01-31,27052456000
2017-02-01,27239568000
2017-02-02,27426680000
2017-02-03,27535008000
2017-02-06,27461148000
2017-02-07,27564552000
2017-02-08,27554704000
2017-02-09,27554704000
2017-02-10,27441452000
2017-02-13,27150936000
2017-02-14,27091848000
2017-02-15,27155860000
2017-02-16,25988872000
2017-02-17,25855924000
2017-02-21,26328628000
2017-02-22,26284312000
2017-02-23,26382792000
2017-02-24,26530512000
2017-02-27,26505892000
2017-02-28,26249844000
2017-03-01,26535436000
2017-03-02,26279388000
2017-03-03,26304008000
2017-03-06,26136592000
2017-03-07,26131668000
2017-03-08,26097200000
2017-03-09,26436956000
2017-03-10,26264616000
2017-03-13,26372944000
2017-03-14,26304008000
2017-03-15,26727472000
2017-03-16,26801332000
2017-03-17,26589600000
2017-03-20,26727472000
2017-03-21,26289236000
2017-03-22,26525588000
2017-03-23,26491120000
2017-03-24,26515740000
2017-03-27,26574828000
2017-03-28,26668384000
2017-03-29,26500968000
2017-03-30,26328628000
2017-03-31,26279388000
2017-04-03,26095836000
2017-04-04,25840620000
2017-04-05,25850436000
2017-04-06,25850436000
2017-04-07,25786632000
2017-04-10,25884792000
2017-04-11,25938780000
2017-04-12,26120376000
2017-04-13,26061480000
2017-04-17,26257800000
2017-04-18,26282340000
2017-04-19,26429580000
2017-04-20,26645532000
2017-04-21,26596452000
2017-04-24,26989092000
2017-04-25,27052896000
2017-04-26,27273756000
2017-04-27,27710568000
2017-04-28,27538788000
2017-05-01,27622224000
2017-05-02,27715476000
2017-05-03,27283572000
2017-05-04,28893396000
2017-05-05,29187876000
2017-05-08,28863948000
2017-05-09,29168244000
2017-05-10,29398920000
2017-05-11,29310576000
2017-05-12,29389104000
2017-05-15,29448000000
2017-05-16,29609964000
2017-05-17,29315484000
2017-05-18,29403828000
2017-05-19,29600148000
2017-05-22,29600148000
2017-05-23,30149844000
2017-05-24,30576840000
2017-05-25,30714264000
2017-05-26,30728988000
2017-05-30,30557208000
2017-05-31,30567024000
2017-06-01,30743712000
2017-06-02,30675000000
2017-06-05,30758436000
2017-06-06,30910584000
2017-06-07,31048008000
2017-06-08,30714264000
2017-06-09,30719172000
2017-06-12,30355980000
2017-06-13,30409968000
2017-06-14,30542484000
2017-06-15,30621012000
2017-06-16,30699540000
2017-06-19,30935124000
2017-06-20,30920400000
2017-06-21,30920400000
2017-06-22,31170708000
2017-06-23,30812424000
2017-06-26,30782976000
2017-06-27,30802608000
2017-06-28,30895860000
2017-06-29,30675000000
2017-06-30,30616104000
2017-07-03,30651897000
2017-07-05,30593205000
2017-07-06,30221489000
2017-07-07,30612769000
2017-07-10,30554077000
2017-07-11,30426911000
2017-07-12,30598096000
2017-07-13,30837755000
2017-07-14,30984485000
2017-07-17,30847537000
2017-07-18,30549186000
2017-07-19,30529622000
2017-07-20,30691025000
2017-07-21,30891556000
2017-07-24,30955139000
2017-07-25,29972048000
2017-07-26,30353546000
2017-07-27,30329091000
2017-07-28,30426911000
2017-07-31,30578532000
2017-08-01,30456257000
2017-08-02,30099214000
2017-08-03,30461148000
2017-08-04,30382892000
2017-08-07,30241053000
2017-08-08,29346000000
2017-08-09,29742171000
2017-08-10,29218834000
2017-08-11,29213943000
2017-08-14,29707934000
2017-08-15,29849773000
2017-08-16,30079650000
2017-08-17,29786190000
2017-08-18,29712825000
2017-08-21,30006285000
2017-08-22,30128560000
2017-08-23,30011176000
2017-08-24,30025849000
2017-08-25,29996503000
2017-08-28,30099214000
2017-08-29,30079650000
2017-08-30,30294854000
2017-08-31,30666570000
2017-09-01,30749717000
2017-09-05,30896447000
2017-09-06,31004049000
2017-09-07,31718134999
2017-09-08,31644770000
2017-09-11,31928448000
2017-09-12,31987140000
2017-09-13,31928448000
