,MIR
2024-02-23,1954936800
2024-02-26,1964900800
2024-02-27,1952944000
2024-02-28,1940987200
2024-02-29,1948958399
2024-03-01,1984828800
2024-03-04,1992800000
2024-03-05,1964900800
2024-03-06,1982835999
2024-03-07,1992800000
2024-03-08,2010735200
2024-03-11,1994792800
2024-03-12,2014720800
2024-03-13,1978850400
2024-03-14,1980843200
2024-03-15,2052584000
2024-03-18,2106389600
2024-03-19,2136281600
2024-03-20,2215993600
2024-03-21,2243892800
2024-03-22,2227950400
2024-03-25,2198058400
2024-03-26,2210015200
2024-03-27,2269799200
2024-03-28,2265813600
2024-04-01,2223964800
2024-04-02,2196065600
2024-04-03,2182116000
2024-04-04,2182116000
2024-04-05,2202044000
2024-04-08,2237914400
2024-04-09,2233928800
2024-04-10,2194072800
2024-04-11,2190087200
2024-04-12,2132295999
2024-04-15,2086461600
2024-04-16,2076497600
2024-04-17,2106389600
2024-04-18,2152224000
2024-04-19,2188094400
2024-04-22,2208022400
2024-04-23,2227950400
2024-04-24,2200051200
2024-04-25,2194072800
2024-04-26,2210015200
2024-04-29,2196065600
2024-04-30,2166173600
2024-05-01,2032655999
2024-05-02,1980843200
2024-05-03,1988814400
2024-05-06,2002764000
2024-05-07,2014720800
2024-05-08,2012728000
2024-05-09,2074504800
2024-05-10,2079178890
2024-05-13,2105143659
2024-05-14,2073187020
2024-05-15,2111135530
2024-05-16,2081176180
2024-05-17,2057208700
2024-05-20,2139097590
2024-05-21,2216991900
2024-05-22,2173051520
2024-05-23,2137100299
2024-05-24,2143092170
2024-05-28,2151081330
2024-05-29,2111135530
2024-05-30,2173051520
2024-05-31,2169056940
2024-06-03,2071189729
2024-06-04,2033241220
2024-06-05,2053214119
2024-06-06,2013268320
2024-06-07,1967330650
2024-06-10,1983308970
2024-06-11,1981311680
2024-06-12,2035238510
2024-06-13,2087168049
2024-06-14,2065197860
2024-06-17,2097154500
2024-06-18,2125116560
2024-06-20,2133105720
2024-06-21,2157073200
2024-06-24,2183037970
2024-06-25,2163065070
2024-06-26,2159070490
2024-06-27,2139097590
2024-06-28,2145089460
2024-07-01,2119124690
2024-07-02,2139097590
2024-07-03,2143092170
2024-07-05,2145089460
2024-07-08,2171054230
2024-07-09,2163065070
2024-07-10,2187032550
2024-07-11,2193024420
2024-07-12,2197019000
2024-07-15,2197019000
2024-07-16,2352807620
2024-07-17,2214994610
2024-07-18,2151081330
2024-07-19,2111135530
2024-07-22,2173051520
2024-07-23,2209002740
2024-07-24,2119124690
2024-07-25,2127113850
2024-07-26,2157073200
2024-07-29,2163507900
2024-07-30,2163507900
2024-07-31,2131156379
2024-08-01,2082629100
2024-08-02,2040167730
2024-08-05,1955244990
2024-08-06,1981530600
2024-08-07,1979508629
2024-08-08,2044211670
2024-08-09,2068475310
