,CB
2004-04-06,12905816324
2004-04-07,12900061222
2004-04-08,12948979590
2004-04-12,13161918365
2004-04-13,13061204079
2004-04-14,12606551018
2004-04-15,12454040814
2004-04-16,12474183671
2004-04-19,12445408161
2004-04-20,12189306120
2004-04-21,12229591835
2004-04-22,12517346937
2004-04-23,12402244896
2004-04-26,12272755100
2004-04-27,12433897957
2004-04-28,12776326528
2004-04-29,12868408161
2004-04-30,12615183671
2004-05-03,12603673467
2004-05-04,12488571426
2004-05-05,12433897957
2004-05-06,12341816324
2004-05-07,12036795916
2004-05-10,11734653059
2004-05-11,11976367345
2004-05-12,11855510202
2004-05-13,11913061222
2004-05-14,11907306120
2004-05-17,11714510202
2004-05-18,11688612243
2004-05-19,11622428569
2004-05-20,11412367345
2004-05-21,11849755100
2004-05-24,11867020406
2004-05-25,12008020406
2004-05-26,11996510202
2004-05-27,11941836733
2004-05-28,11849755100
2004-06-01,12028163263
2004-06-02,12028163263
2004-06-03,12056938773
2004-06-04,12163408161
2004-06-07,12387857141
2004-06-08,12344693875
2004-06-09,12206571426
2004-06-10,12079959181
2004-06-14,12008020406
2004-06-15,12016653059
2004-06-16,12088591835
2004-06-17,12252612243
2004-06-18,12200816324
2004-06-21,12275632651
2004-06-22,12264122447
2004-06-23,12304408161
2004-06-24,12330306120
2004-06-25,12287142855
2004-06-28,12180673467
2004-06-29,12140387753
2004-06-30,12158455372
2004-07-01,12092314295
2004-07-02,12049178810
2004-07-06,11893891064
2004-07-07,11845004181
2004-07-08,11968659238
2004-07-09,12057805907
2004-07-12,12129698382
2004-07-13,12238974944
2004-07-14,12215969352
2004-07-15,12261980536
2004-07-16,12158455372
2004-07-19,12057805907
2004-07-20,11606321164
2004-07-21,11382016642
2004-07-22,11241107391
2004-07-23,11114576635
2004-07-26,11344632555
2004-07-27,11379140943
2004-07-28,11485541806
2004-07-29,11505671699
2004-07-30,11672462241
2004-08-02,11482666107
2004-08-03,11338881157
2004-08-04,11387768040
2004-08-05,11131830829
2004-08-06,11051311257
2004-08-09,11008175772
2004-08-10,11091571043
2004-08-11,11108825237
2004-08-12,11013927170
2004-08-13,11008175772
2004-08-16,11243983090
2004-08-17,11183593411
2004-08-18,11295745672
2004-08-19,11338881157
2004-08-20,11295745672
