,NTRS
2004-04-20,9661385574
2004-04-21,9667980377
2004-04-22,9863626182
2004-04-23,9837246973
2004-04-26,9661385574
2004-04-27,9705350924
2004-04-28,9362421197
2004-04-29,9296473172
2004-04-30,9278887033
2004-05-03,9303067975
2004-05-04,9421774419
2004-05-05,9516299920
2004-05-06,9399791744
2004-05-07,8977724388
2004-05-10,8870009281
2004-05-11,8889793689
2004-05-12,8977724388
2004-05-13,8973327853
2004-05-14,8913974631
2004-05-17,8839233537
2004-05-18,8982120923
2004-05-19,9023888005
2004-05-20,9034879342
2004-05-21,9114016972
2004-05-24,9223930346
2004-05-25,9441558826
2004-05-26,9474532838
2004-05-27,9505308583
2004-05-28,9441558826
2004-06-01,9470136303
2004-06-02,9505308583
2004-06-03,9408584814
2004-06-04,9509705118
2004-06-07,9641601167
2004-06-08,9672376912
2004-06-09,9492118978
2004-06-10,9421774419
2004-06-14,9292076637
2004-06-15,9316257580
2004-06-16,9314059312
2004-06-17,9061258552
2004-06-18,9072249889
2004-06-21,8988715725
2004-06-22,9083241227
2004-06-23,9193154601
2004-06-24,9278887033
2004-06-25,9362421197
2004-06-28,9300869707
2004-06-29,9243714753
2004-06-30,9269225569
2004-07-01,9124530941
2004-07-02,9207839970
2004-07-06,9058760656
2004-07-07,9100415170
2004-07-08,9052183627
2004-07-09,8984220999
2004-07-12,9010529113
2004-07-13,8861449799
2004-07-14,8699216428
2004-07-15,8661946600
2004-07-16,8650984886
2004-07-19,8769371400
2004-07-20,8922835399
2004-07-21,8797871857
2004-07-22,8773756085
2004-07-23,8653177228
2004-07-26,8607138029
2004-07-27,8699216428
2004-07-28,8624676771
2004-07-29,8786910142
2004-07-30,8802256542
2004-08-02,8929412428
2004-08-03,8878988542
2004-08-04,8806641228
2004-08-05,8716755171
2004-08-06,8657561914
2004-08-09,8675100657
2004-08-10,8808833571
2004-08-11,8824179971
2004-08-12,8727716885
2004-08-13,8703601114
2004-08-16,8964489913
2004-08-17,9047798941
2004-08-18,9247302141
2004-08-19,9181531855
