,CVX
2004-06-01,96901939750
2004-06-02,96986848350
2004-06-03,96519851050
2004-06-04,95734446500
2004-06-07,97814707200
2004-06-08,96753349700
2004-06-09,95522175000
2004-06-10,96371261000
2004-06-14,95522175000
2004-06-15,96158989500
2004-06-16,97623662850
2004-06-17,98472748850
2004-06-18,99152017650
2004-06-21,99024654750
2004-06-22,99597787800
2004-06-23,100701599600
2004-06-24,100192148000
2004-06-25,99130790500
2004-06-28,98515203150
2004-06-29,99173244800
2004-06-30,99449215580
2004-07-01,98772977820
2004-07-02,98540521090
2004-07-06,98688448100
2004-07-07,98730712960
2004-07-08,98625050810
2004-07-09,99259023710
2004-07-12,99111096700
2004-07-13,99301288570
2004-07-14,100125453340
2004-07-15,100167718200
2004-07-16,100801691100
2004-07-19,100548101940
2004-07-20,100125453340
2004-07-21,99259023710
2004-07-22,99576010160
2004-07-23,99005434550
2004-07-26,98751845390
2004-07-27,99153361560
2004-07-28,99639407450
2004-07-29,100886220820
2004-07-30,101076412690
2004-08-02,101942842320
2004-08-03,104246277190
2004-08-04,102069636900
2004-08-05,101224339700
2004-08-06,99132229130
2004-08-09,99977526330
2004-08-10,99597142590
2004-08-11,100252247920
2004-08-12,99723937170
2004-08-13,101013015400
2004-08-16,102133034190
2004-08-17,99470348010
2004-08-18,99491480440
2004-08-19,98371461650
2004-08-20,99512612870
