,CZR
2019-03-22,672507164
2019-03-25,663974778
2019-03-26,655442392
2019-03-27,656218063
2019-03-28,675609850
2019-03-29,674058507
2019-04-01,686715589
2019-04-02,685938761
2019-04-03,687492417
2019-04-04,705359451
2019-04-05,713904555
2019-04-08,707689934
2019-04-09,682831451
2019-04-10,703028968
2019-04-11,730217934
2019-04-12,735655727
2019-04-15,728664279
2019-04-16,739539865
2019-04-17,735655727
2019-04-18,742647176
2019-04-22,735655727
2019-04-23,735655727
2019-04-24,734878900
2019-04-25,731771589
2019-04-26,744977658
2019-04-29,742647176
2019-04-30,727110624
2019-05-01,706913106
2019-05-02,710797244
2019-05-03,726333796
2019-05-06,718565520
2019-05-07,701475313
2019-05-08,692930210
2019-05-09,706136279
2019-05-10,718565520
2019-05-13,689822899
2019-05-14,706136279
2019-05-15,713127727
2019-05-16,718565520
2019-05-17,701475313
2019-05-20,701475313
2019-05-21,707689934
2019-05-22,707689934
2019-05-23,703805796
2019-05-24,700698486
2019-05-28,693707037
2019-05-29,710797244
2019-05-30,703805796
2019-05-31,682831451
2019-06-03,668848554
2019-06-04,699144831
2019-06-05,700698486
2019-06-06,709243589
2019-06-07,736432555
2019-06-10,759737383
2019-06-11,753522762
2019-06-12,761291038
2019-06-13,762067865
2019-06-14,762844693
2019-06-17,765175176
2019-06-18,772943452
2019-06-19,782265383
2019-06-20,780711727
2019-06-21,776050762
2019-06-24,888690762
2019-06-25,898012694
2019-06-26,902673659
2019-06-27,905780969
2019-06-28,918210211
2019-07-01,935220000
2019-07-02,943020000
2019-07-03,946920000
2019-07-05,950040000
2019-07-08,944580000
2019-07-09,943020000
2019-07-10,934440000
2019-07-11,924300000
2019-07-12,923520000
2019-07-15,923520000
2019-07-16,929760000
2019-07-17,928980000
2019-07-18,925080000
2019-07-19,920400000
2019-07-22,915720000
2019-07-23,923520000
2019-07-24,932100000
2019-07-25,928200000
2019-07-26,935220000
2019-07-29,925080000
2019-07-30,943020000
2019-07-31,923520000
2019-08-01,920400000
2019-08-02,915720000
2019-08-05,904020000
2019-08-06,898560000
2019-08-07,904020000
2019-08-08,908700000
2019-08-09,898560000
2019-08-12,891540000
2019-08-13,904800000
2019-08-14,893880000
2019-08-15,893100000
2019-08-16,900900000
2019-08-19,895440000
2019-08-20,896220000
2019-08-21,904800000
2019-08-22,902460000
2019-08-23,882180000
2019-08-26,895440000
2019-08-27,884520000
2019-08-28,891540000
2019-08-29,898560000
2019-08-30,897780000
2019-09-03,872820000
2019-09-04,892320000
2019-09-05,897780000
2019-09-06,897780000
2019-09-09,900900000
2019-09-10,910260000
2019-09-11,924300000
2019-09-12,925080000
2019-09-13,928200000
2019-09-16,929760000
2019-09-17,926640000
2019-09-18,928980000
2019-09-19,927420000
2019-09-20,928200000
2019-09-23,924300000
2019-09-24,914940000
2019-09-25,912600000
2019-09-26,904020000
