,TRGP
2015-05-18,5634161000
2015-05-19,5570994000
2015-05-20,5505032000
2015-05-21,5510063000
2015-05-22,5506150000
2015-05-26,5422859000
2015-05-27,5352425000
2015-05-28,5247333000
2015-05-29,5140005000
2015-06-01,5120999000
2015-06-02,5181371000
2015-06-03,5104788000
2015-06-04,4924231000
2015-06-05,5020379000
2015-06-08,4992429000
2015-06-09,4985162000
2015-06-10,5059509000
2015-06-11,5011435000
2015-06-12,4990193000
2015-06-15,5059509000
2015-06-16,5009199000
2015-06-17,5027087000
2015-06-18,5046652000
2015-06-19,4996901000
2015-06-22,5175222000
2015-06-23,5242302000
2015-06-24,5201495000
2015-06-25,5090813000
2015-06-26,5096403000
2015-06-29,4958889000
2015-06-30,4996320000
2015-07-01,4868640000
2015-07-02,4902800000
2015-07-06,4791920000
2015-07-07,4980640000
2015-07-08,4836720000
2015-07-09,4910080000
2015-07-10,4907840000
2015-07-13,5041120000
2015-07-14,5110560000
2015-07-15,4981760000
2015-07-16,4945360000
2015-07-17,4919600000
2015-07-20,4851840000
2015-07-21,4916240000
2015-07-22,4784080000
