,EQR
2003-10-20,7989931230
2003-10-21,8060855850
2003-10-22,7957196790
2003-10-23,7897183650
2003-10-24,7869904950
2003-10-27,7940829570
2003-10-28,7796252460
2003-10-29,7916278740
2003-10-30,8014482060
2003-10-31,7979019750
2003-11-03,8069039460
2003-11-04,7954468920
2003-11-05,7837170510
2003-11-06,7897183650
2003-11-07,7897183650
2003-11-10,7856265600
2003-11-11,7801708200
2003-11-12,7891727910
2003-11-13,7869904950
2003-11-14,7940829570
2003-11-17,7897183650
2003-11-18,7943557440
2003-11-19,7913550870
2003-11-20,7831714770
2003-11-21,7804436070
2003-11-24,7864449210
2003-11-25,8011754190
2003-11-26,8047216500
2003-11-28,8009026320
2003-12-01,8074495200
2003-12-02,8099046030
2003-12-03,8058127980
2003-12-04,7992659100
2003-12-05,7976291880
2003-12-08,7981747620
2003-12-09,8025393540
2003-12-10,7998114840
2003-12-11,8060855850
2003-12-12,8129052600
2003-12-15,8074495200
2003-12-16,8169970650
2003-12-17,8047216500
2003-12-18,8030849280
2003-12-19,8011754190
2003-12-22,8006298450
2003-12-23,7998114840
2003-12-24,8041760760
2003-12-26,8019937800
2003-12-29,8074495200
2003-12-30,8088134550
2003-12-31,8188965980
2004-01-02,8194515940
2004-01-05,8191740960
2004-01-06,8222265740
2004-01-07,8158441200
2004-01-08,8183416020
2004-01-09,8158441200
2004-01-12,8116816500
2004-01-13,8028017140
2004-01-14,8066866860
2004-01-15,8089066700
2004-01-16,7980842480
2004-01-20,7905918020
2004-01-21,7894818100
2004-01-22,7892043120
2004-01-23,8041892040
2004-01-26,8066866860
2004-01-27,8116816500
2004-01-28,8139016340
2004-01-29,8200065900
2004-01-30,8075191800
2004-02-02,8144566300
2004-02-03,8072416820
2004-02-04,7892043120
2004-02-05,7991942400
2004-02-06,8141791320
2004-02-09,8119591480
2004-02-10,8200065900
2004-02-11,8241690600
2004-02-12,8161216180
2004-02-13,8039117060
2004-02-17,8094616660
2004-02-18,8089066700
2004-02-19,8130691400
2004-02-20,8111266540
2004-02-23,8127916420
2004-02-24,8127916420
2004-02-25,8186191000
2004-02-26,8247240560
2004-02-27,8255565500
2004-03-01,8377664620
2004-03-02,8469238960
2004-03-03,8558038320
2004-03-04,8491438800
2004-03-05,8524738560
2004-03-08,8530288520
2004-03-09,8558038320
2004-03-10,8452589080
2004-03-11,8219490760
2004-03-12,8283315300
2004-03-15,8280540320
2004-03-16,8322165020
2004-03-17,8413739360
2004-03-18,8333264940
2004-03-19,8377664620
2004-03-22,8324940000
2004-03-23,8338814900
2004-03-24,8252790520
2004-03-25,8302740160
2004-03-26,8116816500
2004-03-29,8186191000
2004-03-30,8216715780
2004-03-31,8326627650
2004-04-01,8427049290
2004-04-02,8611155630
2004-04-05,8237363970
2004-04-06,8078363040
2004-04-07,8097889470
2004-04-08,7991888850
2004-04-12,7743624240
2004-04-13,7673886990
2004-04-14,7648781580
2004-04-15,7821729960
2004-04-16,7810572000
2004-04-19,7844045880
2004-04-20,7612518210
2004-04-21,7657150050
2004-04-22,7732466280
2004-04-23,7657150050
2004-04-26,7799414040
2004-04-27,7877519760
2004-04-28,7824519450
2004-04-29,7735255770
