,SCI
2004-02-12,2102944920
2004-02-13,2105975100
2004-02-17,2112035460
2004-02-18,2060522400
2004-02-19,2051431859
2004-02-20,2066582760
2004-02-23,2066582760
2004-02-24,2063552580
2004-02-25,2072643120
2004-02-26,2096884560
2004-02-27,2051431859
2004-03-01,2075673300
2004-03-02,2090824200
2004-03-03,2078703480
2004-03-04,2093854380
2004-03-05,2087794020
2004-03-08,2030220600
2004-03-09,2012039520
2004-03-10,1981737720
2004-03-11,1963556640
2004-03-12,1990828260
2004-03-15,2142337260
2004-03-16,2212031400
2004-03-17,2315057520
2004-03-18,2266574640
2004-03-19,2275665180
2004-03-22,2218091760
2004-03-23,2230212480
2004-03-24,2166578700
2004-03-25,2142337260
2004-03-26,2205971040
2004-03-29,2181729600
2004-03-30,2239303020
2004-03-31,2300670360
2004-04-01,2334549040
2004-04-02,2365347840
2004-04-05,2297590480
2004-04-06,2325309400
2004-04-07,2368427720
2004-04-08,2300670360
2004-04-12,2331469160
2004-04-13,2303750240
2004-04-14,2242152640
2004-04-15,2266791680
2004-04-16,2248312400
2004-04-19,2297590480
2004-04-20,2272951440
2004-04-21,2285270960
2004-04-22,2279111200
2004-04-23,2276031320
2004-04-26,2263711800
2004-04-27,2272951440
2004-04-28,2260631920
2004-04-29,2272951440
2004-04-30,2276031320
2004-05-03,2279111200
2004-05-04,2285270960
2004-05-05,2331469160
2004-05-06,2288350840
2004-05-07,2282191080
2004-05-10,2165155640
2004-05-11,2192874560
2004-05-12,2174395280
2004-05-13,2229833120
2004-05-14,2192874560
2004-05-17,2211353840
2004-05-18,2211353840
2004-05-19,2199034320
2004-05-20,2208273960
2004-05-21,2205194080
2004-05-24,2208273960
2004-05-25,2202114200
2004-05-26,2214433720
2004-05-27,2211353840
2004-05-28,2217513600
2004-06-01,2217513600
2004-06-02,2211353840
2004-06-03,2205194080
2004-06-04,2217513600
2004-06-07,2217513600
2004-06-08,2217513600
2004-06-09,2214433720
2004-06-10,2220593480
2004-06-14,2211353840
2004-06-15,2220593480
2004-06-16,2220593480
2004-06-17,2211353840
2004-06-18,2211353840
2004-06-21,2214433720
2004-06-22,2269871560
2004-06-23,2294510600
2004-06-24,2288350840
2004-06-25,2288350840
2004-06-28,2223673360
2004-06-29,2276031320
2004-06-30,2480668300
2004-07-01,2443643400
2004-07-02,2450375200
2004-07-06,2457107000
2004-07-07,2450375200
2004-07-08,2372959500
2004-07-09,2362861800
2004-07-12,2386423100
2004-07-13,2278714300
2004-07-14,2221494000
2004-07-15,2241689400
2004-07-16,2245055300
2004-07-19,2221494000
2004-07-20,2201298600
2004-07-21,2211396300
2004-07-22,2187835000
2004-07-23,2157541900
2004-07-26,2147444200
2004-07-27,2127248800
2004-07-28,2103687500
2004-07-29,2147444200
2004-07-30,2137346499
2004-08-02,2154176000
2004-08-03,2137346499
2004-08-04,2120517000
2004-08-05,2093589800
2004-08-06,2073394400
2004-08-09,2022905900
2004-08-10,2080126200
2004-08-11,2049833100
2004-08-12,1985881000
2004-08-13,2006076400
2004-08-16,1989246900
2004-08-17,2026271799
2004-08-18,2046467200
2004-08-19,2039735399
2004-08-20,2029637700
2004-08-23,2019540000
2004-08-24,2012808200
2004-08-25,2006076400
2004-08-26,2006076400
2004-08-27,1992612800
2004-08-30,2012808200
2004-08-31,2022905900
2004-09-01,2056564900
2004-09-02,2066662600
2004-09-03,2066662600
2004-09-07,2076760300
2004-09-08,2056564900
2004-09-09,2090223900
2004-09-10,2137346499
2004-09-13,2130614700
2004-09-14,2154176000
2004-09-15,2127248800
2004-09-16,2157541900
2004-09-17,2177737300
2004-09-20,2160907800
2004-09-21,2204664500
2004-09-22,2177737300
2004-09-23,2147444200
2004-09-24,2144078300
2004-09-27,2049833100
2004-09-28,2049833100
2004-09-29,2076760300
2004-09-30,1946772900
2004-10-01,1949907800
