,EP
2004-03-02,9457500.0
2004-03-03,9457500.0
2004-03-04,7566000.0
2004-03-05,8700900.0
2004-03-08,8700900.0
2004-03-09,8322600.0
2004-03-10,7944300.0
2004-03-11,9835800.0
2004-03-12,7944300.0
2004-03-15,7187700.0
2004-03-16,7566000.0
2004-03-17,7566000.0
2004-03-18,7944300.0
2004-03-19,7944300.0
2004-03-22,7566000.0
2004-03-23,9835800.0
2004-03-24,9835800.0
2004-03-25,9457500.0
2004-03-26,9457500.0
2004-03-29,9835800.0
2004-03-30,9835800.0
2004-03-31,9835800.0
2004-04-01,9835800.0
2004-04-02,11349000.0
2004-04-05,7944300.0
2004-04-06,7944300.0
2004-04-07,9457500.0
2004-04-08,9457500.0
2004-04-12,9457500.0
2004-04-13,9457500.0
2004-04-14,9835800.0
2004-04-15,10214100.0
2004-04-16,10592400.0
2004-04-19,11349000.0
2004-04-20,10214100.0
2004-04-21,11349000.0
2004-04-22,8700900.0
