,FLT
2014-10-06,12211387920
2014-10-07,11907333500
2014-10-08,12056724399
2014-10-09,11673580680
2014-10-10,11426646310
2014-10-13,10847536880
2014-10-14,10974958530
2014-10-15,11435434010
2014-10-16,11548795339
2014-10-17,11714004100
2014-10-20,11697307470
2014-10-21,11998725580
2014-10-22,11947756920
2014-10-23,12168328190
2014-10-24,12223690700
2014-10-27,12175358350
2014-10-28,12326506790
2014-10-29,12297507380
2014-10-30,12526866350
2014-10-31,13230761120
2014-11-03,13201761710
2014-11-04,13052370810
2014-11-05,13050613270
2014-11-06,13222852190
2014-11-07,13109490860
2014-11-10,13172762300
2014-11-11,13008432310
2014-11-12,12953069800
2014-11-13,12975917820
2014-11-14,12893313440
2014-11-17,12983826750
2014-11-18,13033037870
2014-11-19,13224609730
2014-11-20,13627965160
2014-11-21,13707933230
2014-11-24,13713205850
2014-11-25,13590178050
2014-11-26,13639389170
2014-11-28,13347637529
2014-12-01,12877495580
2014-12-02,12873101730
2014-12-03,13117399790
2014-12-04,13153429360
2014-12-05,13419696670
2014-12-08,13015462470
2014-12-09,13067309899
2014-12-10,12645500300
2014-12-11,12564653460
2014-12-12,12156025410
2014-12-15,12169206960
2014-12-16,12185024820
2014-12-17,13011068620
2014-12-18,13054128350
2014-12-19,13082248990
2014-12-22,13013704930
2014-12-23,13190337700
2014-12-24,13108612089
2014-12-26,13109490860
2014-12-29,13107733320
2014-12-30,13090157920
2014-12-31,13644142500
2015-01-02,13786355000
2015-01-05,13191815000
2015-01-06,13051437500
2015-01-07,13139517500
2015-01-08,13406510000
2015-01-09,13170712500
2015-01-12,12974367500
2015-01-13,13015655000
2015-01-14,12825732500
2015-01-15,12632140000
2015-01-16,12819310000
2015-01-20,12571585000
2015-01-21,12606450000
2015-01-22,12977120000
2015-01-23,13116580000
2015-01-26,13131260000
2015-01-27,12915647500
2015-01-28,12871607500
2015-01-29,12960605000
2015-01-30,12890875000
2015-02-02,13125755000
2015-02-03,13317512500
2015-02-04,13516610000
