,ETR
2004-03-12,13309296076
2004-03-15,13286269612
2004-03-16,13362256943
2004-03-17,13528047482
2004-03-18,13470481323
2004-03-19,13380678114
2004-03-22,13224098160
2004-03-23,13341533125
2004-03-24,13247124624
2004-03-25,13297782844
2004-03-26,13424428395
2004-03-29,13551073946
2004-03-30,13670811558
2004-03-31,13608521913
2004-04-01,13647403404
2004-04-02,13578789007
2004-04-05,13624531938
2004-04-06,13619957645
2004-04-07,13464431680
2004-04-08,13329490035
2004-04-12,13032160984
2004-04-13,12819456356
2004-04-14,12835466382
2004-04-15,12876635020
2004-04-16,12860624994
2004-04-19,12716534762
2004-04-20,12705099029
2004-04-21,12716534762
2004-04-22,12888070752
2004-04-23,12885783606
2004-04-26,12862912140
2004-04-27,12746267667
2004-04-28,12689089003
2004-04-29,12469522936
2004-04-30,12487820108
2004-05-03,12515265866
2004-05-04,12437502884
2004-05-05,12373462781
2004-05-06,12291125505
2004-05-07,11948053524
2004-05-10,11870290542
2004-05-11,11751358922
2004-05-12,11685031672
2004-05-13,11637001595
2004-05-14,11817686172
2004-05-17,11591258664
2004-05-18,11760507508
2004-05-19,11687318819
2004-05-20,11737636043
2004-05-21,11787953267
2004-05-24,11954914964
2004-05-25,12142460980
2004-05-26,12247669721
2004-05-27,12325432704
2004-05-28,12490107254
2004-06-01,12522127306
2004-06-02,12508404427
2004-06-03,12442077177
2004-06-04,12394047100
2004-06-07,12512978720
2004-06-08,12318571264
2004-06-09,12167619592
2004-06-10,12213362523
2004-06-14,12144748127
2004-06-15,12302561238
2004-06-16,12426067151
2004-06-17,12496968694
2004-06-18,12574731676
2004-06-21,12574731676
2004-06-22,12597603142
2004-06-23,12842327822
2004-06-24,12942962269
2004-06-25,12917803657
2004-06-28,12942962269
2004-06-29,12776000572
2004-06-30,12707687368
2004-07-01,12557944935
2004-07-02,12700880894
2004-07-06,12750795038
2004-07-07,12664579698
2004-07-08,12698612069
2004-07-09,12591977307
2004-07-12,12535256688
2004-07-13,12473998420
2004-07-14,12648697925
2004-07-15,12793902708
2004-07-16,12920956894
2004-07-19,13002634584
2004-07-20,12989021636
2004-07-21,12746257389
2004-07-22,12632816152
2004-07-23,12508030791
2004-07-26,12455847822
2004-07-27,12421815451
2004-07-28,12709956193
2004-07-29,12932301018
2004-07-30,13045742255
2004-08-02,13283968852
2004-08-03,13283968852
2004-08-04,13338420646
2004-08-05,13179602914
2004-08-06,13358840069
2004-08-09,13392872440
2004-08-10,13329345347
2004-08-11,13290775326
2004-08-12,13372453017
2004-08-13,13390603615
2004-08-16,13463206007
2004-08-17,13429173636
