,HPE
2020-01-28,19006000000
2020-01-29,18746000000
2020-01-30,18746000000
2020-01-31,17869578125
2020-02-03,18138968750
2020-02-04,18498156250
2020-02-05,19101078125
2020-02-06,19139562500
2020-02-07,18908656250
2020-02-10,18947140625
2020-02-11,19075421875
2020-02-12,19280671875
2020-02-13,18857343750
2020-02-14,18523812500
2020-02-18,18446843750
2020-02-19,18562296875
2020-02-20,18562296875
2020-02-21,18190281250
2020-02-24,17587359375
2020-02-25,17099890625
2020-02-26,16727874999
2020-02-27,16137781250
2020-02-28,16407171874
2020-03-02,16535453125
2020-03-03,16150609375
2020-03-04,15727281250
2020-03-05,15124359374
2020-03-06,15380921875
2020-03-09,14290531250
2020-03-10,14778000000
2020-03-11,13559328125
2020-03-12,11699249999
2020-03-13,12648531250
2020-03-16,10711484375
2020-03-17,10608859375
2020-03-18,10942390625
2020-03-19,11686421875
2020-03-20,11070671875
2020-03-23,10044421875
2020-03-24,11468343750
2020-03-25,12045609375
2020-03-26,13508015625
2020-03-27,12597218750
2020-03-30,12892265625
2020-03-31,12456109375
2020-04-01,12289343750
2020-04-02,12032781250
2020-04-03,11930156250
2020-04-06,12610046875
2020-04-07,12391968750
2020-04-08,13123171875
2020-04-09,13508015625
2020-04-13,13289937500
2020-04-14,13289937500
2020-04-15,12212375000
2020-04-16,11955812500
2020-04-17,12456109375
2020-04-20,12007125000
2020-04-21,11609453125
2020-04-22,11583796875
2020-04-23,11891671875
2020-04-24,12225203125
2020-04-27,12391968750
2020-04-28,12571562500
2020-04-29,13225796875
2020-04-30,12997520000
2020-05-01,12248160000
2020-05-04,12118960000
2020-05-05,12157720000
2020-05-06,12080200000
2020-05-07,12377360000
2020-05-08,13243000000
2020-05-11,12571160000
2020-05-12,12248160000
2020-05-13,11731360000
2020-05-14,11847640000
2020-05-15,11770120000
2020-05-18,12907080000
2020-05-19,12971679999
2020-05-20,13281760000
2020-05-21,13385120000
2020-05-22,11847640000
2020-05-26,12170640000
2020-05-27,12609920000
2020-05-28,12390280000
2020-05-29,12545320000
2020-06-01,12609920000
2020-06-02,12855400000
2020-06-03,13359280000
