,HSY
2003-11-25,10180403840
2003-11-26,10143821280
2003-11-28,10151660400
2003-12-01,10125530000
2003-12-02,10209147280
2003-12-03,10256182000
2003-12-04,10172564720
2003-12-05,10154273440
2003-12-08,10169951680
2003-12-09,10070656160
2003-12-10,9963521520
2003-12-11,10044525760
2003-12-12,10036686640
2003-12-15,10115077840
2003-12-16,10086334400
2003-12-17,10057590960
2003-12-18,10034073600
2003-12-19,9937391120
2003-12-22,9984425840
2003-12-23,10070656160
2003-12-24,10013169280
2003-12-26,10023621440
2003-12-29,10078495280
2003-12-30,10070656160
2003-12-31,10000760000
2004-01-02,9941015200
2004-01-05,9987772000
2004-01-06,10024138400
2004-01-07,9987772000
2004-01-08,9883868000
2004-01-09,9722816800
2004-01-12,9805940000
2004-01-13,9917636800
2004-01-14,9946210400
2004-01-15,9855294400
2004-01-16,9792952000
2004-01-20,9741000000
2004-01-21,9759183200
2004-01-22,9738402400
2004-01-23,9738402400
2004-01-26,9785159200
2004-01-27,9787756800
2004-01-28,9735804800
2004-01-29,9792952000
2004-01-30,9805940000
2004-02-02,9941015200
2004-02-03,10096871200
2004-02-04,10065700000
2004-02-05,10161811200
2004-02-06,10148823200
2004-02-09,10143628000
2004-02-10,10179994400
2004-02-11,10369619200
2004-02-12,10317667200
2004-02-13,10247532000
2004-02-17,10343643200
2004-02-18,10387802400
2004-02-19,10411180800
2004-02-20,10873553600
2004-02-23,10870956000
2004-02-24,10831992000
2004-02-25,10824199200
2004-02-26,10787832800
2004-02-27,10767052000
2004-03-01,10904724800
2004-03-02,10759259200
2004-03-03,10769649600
2004-03-04,10637172000
2004-03-05,10951481600
2004-03-08,10839784800
2004-03-09,10909920000
2004-03-10,11099544800
2004-03-11,10920310400
2004-03-12,11039800000
2004-03-15,10938493600
2004-03-16,10715100000
2004-03-17,10873553600
2004-03-18,10909920000
2004-03-19,10844980000
2004-03-22,10712502400
2004-03-23,10704709600
2004-03-24,10663148000
2004-03-25,10663148000
2004-03-26,10629379200
2004-03-29,10748868800
2004-03-30,10754064000
2004-03-31,10761856800
2004-04-01,10715100000
2004-04-02,10694319200
2004-04-05,10751466400
2004-04-06,10912517600
2004-04-07,10831992000
2004-04-08,10834589600
2004-04-12,10780040000
2004-04-13,10621586400
2004-04-14,10816406400
2004-04-15,10959274400
2004-04-16,11198253600
2004-04-19,11050190400
2004-04-20,10982652800
2004-04-21,10993043200
2004-04-22,11299560000
2004-04-23,11372292800
2004-04-26,11702188000
2004-04-27,11598284000
2004-04-28,11520356000
2004-04-29,11546332000
2004-04-30,8804122600
2004-05-03,8905137280
2004-05-04,8891272520
2004-05-05,8922963400
2004-05-06,8901175920
2004-05-07,8835813480
2004-05-10,8839774840
2004-05-11,8798180560
2004-05-12,8778373760
2004-05-13,8823929400
2004-05-14,8766489680
2004-05-17,8802141920
2004-05-18,8851658920
2004-05-19,8774412400
2004-05-20,8756586280
2004-05-21,8754605600
2004-05-24,8705088600
2004-05-25,8718953360
2004-05-26,8762528320
2004-05-27,8782335120
2004-05-28,8788277160
2004-06-01,8746682880
2004-06-02,8875427080
2004-06-03,8863543000
2004-06-04,8837794160
2004-06-07,8893253200
2004-06-08,9132915480
2004-06-09,9099243920
2004-06-10,9061611000
2004-06-14,9087359840
2004-06-15,9115089360
2004-06-16,9059630320
2004-06-17,9002190600
2004-06-18,8950692920
2004-06-21,8942770200
2004-06-22,8996248560
2004-06-23,9101224600
2004-06-24,8998229240
2004-06-25,8913060000
2004-06-28,8958615640
2004-06-29,9097263240
2004-06-30,9164606360
