,CPRI
2015-11-03,7163178092
2015-11-04,7755251561
2015-11-05,7922853897
2015-11-06,7921032132
2015-11-09,7804439203
2015-11-10,7851805081
2015-11-11,7525709232
2015-11-12,7585827461
2015-11-13,7104881628
2015-11-16,7226939850
2015-11-17,7163178092
2015-11-18,7441908064
2015-11-19,7447373357
2015-11-20,7492917470
2015-11-23,7691489803
2015-11-24,7797152145
2015-11-25,7815369790
2015-11-27,7746142739
2015-11-30,7837230965
2015-12-01,7813548026
2015-12-02,7839052729
2015-12-03,7778934500
2015-12-04,7713350977
2015-12-07,7809904497
2015-12-08,7651410984
2015-12-09,7640480396
2015-12-10,7691489803
2015-12-11,7358106896
2015-12-14,7314384547
2015-12-15,7374502776
2015-12-16,7458303944
2015-12-17,7183217502
2015-12-18,7232405144
2015-12-21,7347176309
2015-12-22,7436442770
2015-12-23,7584005696
2015-12-24,7443729828
2015-12-28,7224603988
2015-12-29,7292173506
2015-12-30,7151700034
2015-12-31,7123249711
2016-01-04,7178372212
2016-01-05,7240607295
2016-01-06,7069905354
2016-01-07,6927653738
2016-01-08,6719610748
2016-01-11,6604031309
2016-01-12,6671600827
2016-01-13,6427994934
2016-01-14,6420882353
2016-01-15,6324862511
2016-01-19,6358647270
2016-01-20,6488451871
2016-01-21,6669822682
2016-01-22,6829855751
2016-01-25,6531127356
2016-01-26,6719610748
2016-01-27,6762286233
2016-01-28,6886756398
2016-01-29,7094799387
2016-02-01,7190819229
2016-02-02,8910285647
2016-02-03,9196567026
2016-02-04,9196567026
2016-02-05,9217904768
2016-02-08,8926288954
2016-02-09,8931623389
2016-02-10,8919176373
2016-02-11,8737805561
2016-02-12,8814265805
2016-02-16,9025865085
2016-02-17,9333484207
2016-02-18,9466845098
2016-02-19,9376159692
2016-02-22,9747792041
2016-02-23,9738901315
2016-02-24,9858037044
2016-02-25,10041186000
2016-02-26,10060745598
2016-02-29,10073192614
2016-03-01,10186993908
2016-03-02,10284791894
2016-03-03,10169212455
2016-03-04,10163878020
2016-03-07,10211887941
2016-03-08,10090974066
2016-03-09,10338136250
2016-03-10,10201219069
2016-03-11,10402149478
2016-03-14,10409262059
2016-03-15,10186993908
2016-03-16,9968282047
2016-03-17,10098086647
2016-03-18,10130093261
2016-03-21,10121202535
2016-03-22,9964725756
2016-03-23,9945166159
2016-03-24,9874040351
2016-03-28,10005623096
2016-03-29,10023404548
2016-03-30,10112311809
2016-03-31,10128315116
2016-04-01,10130093261
2016-04-04,9813835475
2016-04-05,9735464118
2016-04-06,9808610718
2016-04-07,9359281605
2016-04-08,8915177249
2016-04-11,8948267377
2016-04-12,8990065435
2016-04-13,9256528048
2016-04-14,9021413977
2016-04-15,9106751677
2016-04-18,9167707177
2016-04-19,9052762520
2016-04-20,9052762520
2016-04-21,8993548606
2016-04-22,8986582263
2016-04-25,9028380320
2016-04-26,9301809277
2016-04-27,9599620433
2016-04-28,9199055720
2016-04-29,8997031777
2016-05-02,9221696334
2016-05-03,9131133877
2016-05-04,8936076278
2016-05-05,8739277092
2016-05-06,8859446506
2016-05-09,8826356378
2016-05-10,8690512692
2016-05-11,7664718709
2016-05-12,7626403824
2016-05-13,7298985710
2016-05-16,7220614353
2016-05-17,7250221310
2016-05-18,7096961768
2016-05-19,7088253839
2016-05-20,7236288625
2016-05-23,7229322282
2016-05-24,7238030210
2016-05-25,7279828267
2016-05-26,7283311439
2016-05-27,7278086682
2016-05-31,7440054153
2016-06-01,7932922909
2016-06-02,8274273708
2016-06-03,8437982764
2016-06-06,8636523535
2016-06-07,8855963335
2016-06-08,8824614792
2016-06-09,8836805892
2016-06-10,8680063178
2016-06-13,8650456221
2016-06-14,8606916578
2016-06-15,8687029521
2016-06-16,8549444250
2016-06-17,8702703792
2016-06-20,8714894892
2016-06-21,8822873206
2016-06-22,8847255406
2016-06-23,8850738578
2016-06-24,8291689565
2016-06-27,8044384394
2016-06-28,8262082608
2016-06-29,8432758007
2016-06-30,8617366093
2016-07-01,8721861235
2016-07-05,8194757219
2016-07-06,8091405928
2016-07-07,8176420700
2016-07-08,8373121545
2016-07-11,8518146744
2016-07-12,8653170205
2016-07-13,8621498035
2016-07-14,8596493690
2016-07-15,8608162384
2016-07-18,8668172812
2016-07-19,8533149350
2016-07-20,8599827603
2016-07-21,8559820651
2016-07-22,8574823258
2016-07-25,8614830210
2016-07-26,8694844112
2016-07-27,8723182370
2016-07-28,8678174549
2016-07-29,8621498035
2016-08-01,8818198879
