,XYL
2016-01-29,6420670000
2016-02-01,6361732000
2016-02-02,6225996000
2016-02-03,6370662000
2016-02-04,6622488000
2016-02-05,6547475999
2016-02-08,6468892000
2016-02-09,6556406000
2016-02-10,6506398000
2016-02-11,6467106000
2016-02-12,6615344000
2016-02-16,6608200000
2016-02-17,6726075999
2016-02-18,6702858000
2016-02-19,6613558000
2016-02-22,6722504000
2016-02-23,6665352000
2016-02-24,6692142000
2016-02-25,6708216000
2016-02-26,6736792000
2016-02-29,6681425999
2016-03-01,6776084000
2016-03-02,6792158000
2016-03-03,6817162000
2016-03-04,6826092000
2016-03-07,6885029999
2016-03-08,6770725999
2016-03-09,6813590000
2016-03-10,6772512000
2016-03-11,6867170000
2016-03-14,6799302000
2016-03-15,6811804000
2016-03-16,6899318000
2016-03-17,6967186000
2016-03-18,7049342000
2016-03-21,7040412000
2016-03-22,7036840000
2016-03-23,7031482000
2016-03-24,7111852000
2016-03-28,7126140000
2016-03-29,7258304000
2016-03-30,7329744000
2016-03-31,7325190000
2016-04-01,7387875000
2016-04-04,7303698000
2016-04-05,7344891000
2016-04-06,7377129000
2016-04-07,7323399000
2016-04-08,7382502000
2016-04-11,7384292999
2016-04-12,7459515000
2016-04-13,7493544000
2016-04-14,7520409000
2016-04-15,7572348000
2016-04-18,7631451000
2016-04-19,7649361000
2016-04-20,7552647000
2016-04-21,7493544000
2016-04-22,7604586000
2016-04-25,7559811000
2016-04-26,7676226000
2016-04-27,7683390000
2016-04-28,7552647000
2016-04-29,7482798000
2016-05-02,7566975000
2016-05-03,7500708000
2016-05-04,7387875000
2016-05-05,7438023000
2016-05-06,7502499000
2016-05-09,7450560000
2016-05-10,7617123000
2016-05-11,7679808000
2016-05-12,7744284000
2016-05-13,7728165000
2016-05-16,7778313000
2016-05-17,7787267999
2016-05-18,7747866000
2016-05-19,7713837000
2016-05-20,7792641000
2016-05-23,7790850000
2016-05-24,7962786000
2016-05-25,8009352000
2016-05-26,8012934000
2016-05-27,7982487000
2016-05-31,7998605999
