,MET
2004-07-01,23757043012
2004-07-02,23652419356
2004-07-06,23585161291
2004-07-07,23458118280
2004-07-08,23278763442
2004-07-09,23084462366
2004-07-12,23375913979
2004-07-13,23308655915
2004-07-14,23091935485
2004-07-15,22897634409
2004-07-16,22807956990
2004-07-19,22912580646
2004-07-20,22837849463
2004-07-21,23069516130
2004-07-22,22778064517
2004-07-23,22621129033
2004-07-26,22651021506
2004-07-27,22793010754
2004-07-28,22845322581
2004-07-29,23659892474
2004-07-30,23757043012
2004-08-02,24108279571
2004-08-03,23869139786
2004-08-04,24048494625
2004-08-05,23809354840
2004-08-06,23749569893
2004-08-09,23839247313
2004-08-10,24070913979
2004-08-11,24063440861
2004-08-12,23899032259
2004-08-13,23734623657
2004-08-16,24011129033
2004-08-17,24003655915
2004-08-18,24504354840
2004-08-19,24422150539
2004-08-20,24437096775
2004-08-23,24138172044
2004-08-24,24138172044
2004-08-25,24272688173
2004-08-26,24354892474
2004-08-27,24422150539
2004-08-30,24317526883
2004-08-31,24810752689
2004-09-01,24623924732
2004-09-02,24683709678
2004-09-03,24930322582
2004-09-07,25401129033
2004-09-08,25236720431
2004-09-09,25221774195
2004-09-10,25416075270
2004-09-13,25789731184
2004-09-14,25453440861
2004-09-15,25296505377
2004-09-16,25221774195
2004-09-17,25042419356
2004-09-20,24810752689
2004-09-21,25049892474
2004-09-22,24668763442
2004-09-23,24721075270
2004-09-24,25079784947
2004-09-27,24885483872
2004-09-28,25199354840
2004-09-29,25423548388
2004-09-30,25367373128
2004-10-01,25846141784
2004-10-04,26045014919
2004-10-05,26214425366
2004-10-06,26280716411
2004-10-07,26022917904
2004-10-08,25293716411
2004-10-11,25426298501
2004-10-12,25345276113
2004-10-13,25050649247
2004-10-14,24454029844
2004-10-15,22966164173
2004-10-18,22642074621
2004-10-19,22303253725
2004-10-20,22634708949
2004-10-21,22642074621
2004-10-22,22605246263
2004-10-25,23010358203
2004-10-26,24122574621
2004-10-27,24586611934
2004-10-28,24873873128
2004-10-29,25175865665
2004-11-01,25109574620
2004-11-02,25249522381
2004-11-03,25116940292
2004-11-04,25838776113
2004-11-05,25838776113
2004-11-08,26126037307
2004-11-09,25654634322
2004-11-10,25794582083
2004-11-11,26126037307
2004-11-12,25205328352
2004-11-15,26059746262
2004-11-16,25816679098
2004-11-17,26184962680
2004-11-18,25934529844
2004-11-19,25499955217
2004-11-22,26022917904
