,ALK
2004-09-14,668863800
2004-09-15,661342440
2004-09-16,672087240
2004-09-17,668326560
2004-09-20,677191020
2004-09-21,689010300
2004-09-22,666446220
2004-09-23,662685540
2004-09-24,650866260
2004-09-27,651134880
2004-09-28,656775900
2004-09-29,672624480
2004-09-30,672702660
2004-10-01,692248500
2004-10-04,704736120
2004-10-05,674060010
2004-10-06,687904980
2004-10-07,669173550
2004-10-08,668087670
2004-10-11,668630610
2004-10-12,667273260
2004-10-13,679217940
2004-10-14,669716490
2004-10-15,666458850
2004-10-18,656414460
2004-10-19,644741250
2004-10-20,629810400
2004-10-21,667816200
2004-10-22,682204110
2004-10-25,695506140
2004-10-26,724553430
2004-10-27,719938440
2004-10-28,722110200
2004-10-29,715051980
2004-11-01,721024320
2004-11-02,762016290
2004-11-03,746542500
2004-11-04,767174220
2004-11-05,771517740
2004-11-08,769074510
2004-11-09,784005360
2004-11-10,761744820
2004-11-11,778033020
2004-11-12,782919480
2004-11-15,797578860
2004-11-16,775589790
2004-11-17,783190950
2004-11-18,789163290
2004-11-19,768260100
2004-11-22,778847430
2004-11-23,798936210
2004-11-24,784276830
2004-11-26,798936210
2004-11-29,824725860
2004-11-30,847800810
2004-12-01,873047519
2004-12-02,893136300
2004-12-03,893136300
2004-12-06,889335720
2004-12-07,877391040
2004-12-08,875490750
2004-12-09,870332820
2004-12-10,866803710
2004-12-13,868161060
2004-12-14,870332820
2004-12-15,879019860
2004-12-16,871418700
2004-12-17,860559900
2004-12-20,865989300
2004-12-21,871147230
2004-12-22,876848099
2004-12-23,870875760
2004-12-27,867889590
2004-12-28,876033690
2004-12-29,891507480
2004-12-30,901008929
2004-12-31,909153030
2005-01-03,890421599
2005-01-04,848615220
2005-01-05,829340850
2005-01-06,811695300
2005-01-07,808166190
2005-01-10,807623250
2005-01-11,825540270
2005-01-12,819296460
2005-01-13,810337950
2005-01-14,834498780
2005-01-18,851058450
2005-01-19,822011160
2005-01-20,804094140
