,CMA
2004-05-13,9101837839
2004-05-14,9108756758
2004-05-17,9115675677
2004-05-18,9318054055
2004-05-19,9297297298
2004-05-20,9420108109
2004-05-21,9463351352
2004-05-24,9470270271
2004-05-25,9624216217
2004-05-26,9788540542
2004-05-27,9752216217
2004-05-28,9792000001
2004-06-01,9683027028
2004-06-02,9670918920
2004-06-03,9613837839
2004-06-04,9634594596
2004-06-07,9778162163
2004-06-08,9809297298
2004-06-09,9698594596
2004-06-10,9767783785
2004-06-14,9537729731
2004-06-15,9544648650
2004-06-16,9480648650
2004-06-17,9425297298
2004-06-18,9387243244
2004-06-21,9451243244
2004-06-22,9463351352
2004-06-23,9529081082
2004-06-24,9513513515
2004-06-25,9456432433
2004-06-28,9427027028
2004-06-29,9356108109
2004-06-30,9353460891
2004-07-01,9235860890
2004-07-02,9273356543
2004-07-06,9177913064
2004-07-07,9235860890
2004-07-08,9108034803
2004-07-09,9062017412
2004-07-12,9247791325
2004-07-13,9408000021
2004-07-14,9450608717
2004-07-15,9481286978
2004-07-16,9583547848
2004-07-19,9827269587
2004-07-20,9932939153
2004-07-21,9915895674
2004-07-22,9919304370
2004-07-23,9849426109
2004-07-26,9883513066
2004-07-27,9919304370
2004-07-28,9888626109
2004-07-29,9961913066
2004-07-30,9965321762
2004-08-02,10018156544
2004-08-03,9929530457
2004-08-04,9999408718
2004-08-05,9929530457
2004-08-06,9655130456
2004-08-09,9670469587
2004-08-10,9888626109
2004-08-11,9948278283
2004-08-12,10072695675
2004-08-13,10122121762
2004-08-16,10128939153
2004-08-17,10132347849
2004-08-18,10209043501
2004-08-19,10064173936
2004-08-20,10108486979
