,CHIR
2022-09-19,12807922.0
2022-09-20,12524392.0
2022-09-21,12202695.0
2022-09-22,12235410.0
2022-09-23,11837377.0
2022-09-26,11957332.0
2022-09-27,11990047.0
2022-09-28,11793757.0
2022-09-29,11106742.0
2022-09-30,11401177.0
2022-10-03,11990047.0
2022-10-04,12251767.0
2022-10-05,11924617.0
2022-10-06,11777400.0
2022-10-07,11253960.0
2022-10-10,10959525.0
2022-10-11,10839570.0
2022-10-12,10654185.0
2022-10-13,10288867.0
2022-10-14,10288867.0
2022-10-17,10288867.0
2022-10-18,10147102.0
2022-10-19,9934455.0
2022-10-20,10038052.0
2022-10-21,10087125.0
2022-10-24,9067507.5
2022-10-25,9127485.0
2022-10-26,9127485.0
2022-10-27,8914837.5
2022-10-28,8402302.5
2022-10-31,7900672.5
2022-11-01,8091510.0
2022-11-02,8304157.5
2022-11-03,8206012.5
2022-11-04,8980267.5
2022-11-07,9111127.5
2022-11-08,9062055.0
2022-11-09,9220177.5
2022-11-10,9732712.5
2022-11-11,11221245.0
2022-11-14,12251767.0
2022-11-15,12464415.0
2022-11-16,11482965.0
2022-11-17,12148170.0
2022-11-18,11482965.0
2022-11-21,11368462.0
2022-11-22,11074027.0
2022-11-23,11401177.0
2022-11-25,12431700.0
2022-11-28,12104550.0
2022-11-29,12884257.0
2022-11-30,12927877.0
2022-12-01,12824280.0
2022-12-02,12835185.0
2022-12-05,12758850.0
2022-12-06,13233217.0
2022-12-07,12235410.0
2022-12-08,12693420.0
2022-12-09,13576725.0
2022-12-12,12633442.0
2022-12-13,12987855.0
2022-12-14,12398985.0
2022-12-15,12513487.0
2022-12-16,13036927.0
2022-12-19,12922425.0
2022-12-20,12322650.0
2022-12-21,12404437.0
2022-12-22,12268125.0
2022-12-23,12240862.0
2022-12-27,12546202.0
2022-12-28,12055477.0
2022-12-29,11837377.0
2022-12-30,11673802.0
2023-01-03,11957332.0
2023-01-04,12938782.0
2023-01-05,12998760.0
2023-01-06,13849350.0
2023-01-09,13195050.0
2023-01-10,13036927.0
2023-01-11,13200502.0
2023-01-12,12813375.0
2023-01-13,12938782.0
2023-01-17,12704325.0
2023-01-18,12480772.0
2023-01-19,13004212.0
2023-01-20,13140525.0
2023-01-23,13249575.0
2023-01-24,13222312.0
2023-01-25,13200502.0
2023-01-26,13484032.0
2023-01-27,13576725.0
2023-01-30,12933330.0
2023-01-31,12916972.0
2023-02-01,13020570.0
2023-02-02,12720682.0
2023-02-03,12251767.0
2023-02-06,12039120.0
2023-02-07,12246315.0
2023-02-08,12229957.0
2023-02-09,12442605.0
2023-02-10,12328102.0
2023-02-13,12606180.0
2023-02-14,12508035.0
2023-02-15,12153622.0
2023-02-16,12175432.0
2023-02-17,11924617.0
2023-02-21,12360817.0
2023-02-22,12246315.0
2023-02-23,12071835.0
2023-02-24,11706517.0
2023-02-27,11880997.0
2023-02-28,11641087.0
2023-03-01,12115455.0
2023-03-02,12164527.0
2023-03-03,12339007.0
2023-03-06,12164527.0
2023-03-07,11761042.0
2023-03-08,11510227.0
2023-03-09,11193982.0
2023-03-10,11128552.0
2023-03-13,10975882.0
2023-03-14,10883190.0
2023-03-15,10795950.0
2023-03-16,11177625.0
2023-03-17,11275770.0
