,F
2004-03-12,24244934573
2004-03-15,23752373826
2004-03-16,23861831770
2004-03-17,24390878499
2004-03-18,24299663545
2004-03-19,23825345788
2004-03-22,23551700929
2004-03-23,23515214947
2004-03-24,23697644854
2004-03-25,24044261676
2004-03-26,24226691583
2004-03-29,24463850461
2004-03-30,24901682237
2004-03-31,23683890625
2004-04-01,23422093750
2004-04-02,23840968750
2004-04-05,24556546875
2004-04-06,24434375000
2004-04-07,23858421875
2004-04-08,23718796875
2004-04-12,23893328125
2004-04-13,23404640625
2004-04-14,23107937500
2004-04-15,22898500000
2004-04-16,23282468750
2004-04-19,23299921875
2004-04-20,23666437500
2004-04-21,26074968750
2004-04-22,27523578125
2004-04-23,27401406250
2004-04-26,27383953125
2004-04-27,27977359375
2004-04-28,27052343750
2004-04-29,26825453125
2004-04-30,26808000000
2004-05-03,26650921875
2004-05-04,26895265625
2004-05-05,26389125000
2004-05-06,25987703125
2004-05-07,25132500000
2004-05-10,24451828125
2004-05-11,25097593750
2004-05-12,25289578125
2004-05-13,25149953125
2004-05-14,25656093750
2004-05-17,24905609375
2004-05-18,25219765625
2004-05-19,24574000000
2004-05-20,24748531250
2004-05-21,24853250000
2004-05-24,24940515625
2004-05-25,25621187500
2004-05-26,26214593750
2004-05-27,26249500000
2004-05-28,25917890625
2004-06-01,26249500000
2004-06-02,25987703125
2004-06-03,25743359375
2004-06-04,26022609375
2004-06-07,26528750000
2004-06-08,26912718750
2004-06-09,26877812500
2004-06-10,27191968750
2004-06-14,26563656250
2004-06-15,26895265625
2004-06-16,27279234375
2004-06-17,27296687500
2004-06-18,27733015625
2004-06-21,27314140625
2004-06-22,27925000000
2004-06-23,28553312500
2004-06-24,28186796874
2004-06-25,27663203125
2004-06-28,27314140625
2004-06-29,27698109375
2004-06-30,28623850000
2004-07-01,27471580000
2004-07-02,27343550000
2004-07-06,27361840000
2004-07-07,27361840000
2004-07-08,27014330000
2004-07-09,27727640000
2004-07-12,27709350000
2004-07-13,27709350000
2004-07-14,27617900000
2004-07-15,27489870000
2004-07-16,27160650000
2004-07-19,27398420000
2004-07-20,26703400000
2004-07-21,26575370000
2004-07-22,26794850000
2004-07-23,26831430000
2004-07-26,26959460000
2004-07-27,27215520000
2004-07-28,27782510000
2004-07-29,27343550000
2004-07-30,26922880000
2004-08-02,27526450000
2004-08-03,26904590000
2004-08-04,26868010000
2004-08-05,25971800000
2004-08-06,25734030000
2004-08-09,25752320000
2004-08-10,26191280000
2004-08-11,26026670000
2004-08-12,25349940000
2004-08-13,25240200000
2004-08-16,25715740000
2004-08-17,25880350000
2004-08-18,26154700000
2004-08-19,25606000000
2004-08-20,25807190000
2004-08-23,25679160000
