,FTV
2020-07-06,19536912000
2020-07-07,19226320000
2020-07-08,19290464000
2020-07-09,19006880000
2020-07-10,19000128000
2020-07-13,19104784000
2020-07-14,19536912000
2020-07-15,20110832000
2020-07-16,20259376000
2020-07-17,20367408000
2020-07-20,19989296000
2020-07-21,20114208000
2020-07-22,20208736000
2020-07-23,20488944000
2020-07-24,20056816000
2020-07-27,20313392000
2020-07-28,20066944000
2020-07-29,20792784000
2020-07-30,20384288000
2020-07-31,19830624000
2020-08-03,19651696000
2020-08-04,19624688000
2020-08-05,19779984000
2020-08-06,19972416000
2020-08-07,20404544000
2020-08-10,20299888000
2020-08-11,20752272000
2020-08-12,21170896000
2020-08-13,20840048000
2020-08-14,20786032000
2020-08-17,20759024000
2020-08-18,20364032000
2020-08-19,20174976000
2020-08-20,20310016000
2020-08-21,20262752000
2020-08-24,20340400000
2020-08-25,19931904000
2020-08-26,20056816000
2020-08-27,20012928000
2020-08-28,20576720000
2020-08-31,20370784000
2020-09-01,20789408000
2020-09-02,20998720000
2020-09-03,20708384000
2020-09-04,20964960000
2020-09-08,20806288000
2020-09-09,21373456000
2020-09-10,21596272000
2020-09-11,21856224000
2020-09-14,21930495999
2020-09-15,21808959999
2020-09-16,21724559999
2020-09-17,21879856000
2020-09-18,21410592000
2020-09-21,20445056000
2020-09-22,20559840000
2020-09-23,20256000000
2020-09-24,20549712000
2020-09-25,20979660000
2020-09-28,21419060000
2020-09-29,21554260000
2020-09-30,21554260000
2020-10-01,21310900000
2020-10-02,21892260000
2020-10-05,22362080000
2020-10-06,22247159999
2020-10-07,22923159999
2020-10-08,23132720000
2020-10-09,23599159999
2020-10-12,22882600000
2020-10-13,22449960000
2020-10-14,22646000000
2020-10-15,22787960000
2020-10-16,22693320000
2020-10-19,22230260000
2020-10-20,22270820000
2020-10-21,22247159999
2020-10-22,22483760000
2020-10-23,22477000000
2020-10-26,21807760000
2020-10-27,21513700000
2020-10-28,20891780000
2020-10-29,21047260000
2020-10-30,20820800000
2020-11-02,21402160000
2020-11-03,21966620000
2020-11-04,21841560000
2020-11-05,22967100000
2020-11-06,23109060000
2020-11-09,23771540000
2020-11-10,23592400000
2020-11-11,23660000000
2020-11-12,23494380000
2020-11-13,23981100000
2020-11-16,24390080000
2020-11-17,24217700000
2020-11-18,23994620000
2020-11-19,24109540000
2020-11-20,24106159999
2020-11-23,24227840000
2020-11-24,24674000000
2020-11-25,24292060000
2020-11-27,24143340000
2020-11-30,23703940000
2020-12-01,23845900000
2020-12-02,23541700000
2020-12-03,23264540000
2020-12-04,24092640000
2020-12-07,23453820000
2020-12-08,23119200000
2020-12-09,23538320000
2020-12-10,23298340000
