,FOSL
2003-08-15,1261118583
2003-08-18,1318018140
2003-08-19,1338539276
2003-08-20,1301694513
2003-08-21,1308690363
2003-08-22,1289568256
2003-08-25,1287236400
2003-08-26,1291900323
2003-08-27,1310555946
2003-08-28,1327345916
2003-08-29,1308224019
2003-09-02,1334808179
2003-09-03,1322682133
2003-09-04,1331543426
2003-09-05,1289568256
2003-09-08,1297963346
2003-09-09,1267181606
2003-09-10,1246660470
2003-09-11,1244330851
2003-09-12,1200956581
2003-09-15,1189294500
2003-09-16,1186964881
2003-09-17,1201418308
2003-09-18,1243393408
2003-09-19,1231269600
2003-09-22,1230339151
2003-09-23,1221475410
2003-09-24,1200956581
2003-09-25,1176233248
2003-09-26,1163178991
2003-09-29,1143590611
2003-09-30,1133327700
2003-10-01,1142191441
2003-10-02,1164578161
2003-10-03,1206553261
2003-10-06,1288697550
2003-10-07,1298010000
2003-10-08,1260767550
2003-10-09,1324962450
2003-10-10,1307807550
2003-10-13,1309277550
2003-10-14,1305360000
2003-10-15,1294092450
2003-10-16,1308300000
2003-10-17,1300950000
2003-10-20,1278407550
2003-10-21,1286250000
2003-10-22,1249992450
2003-10-23,1244597550
2003-10-24,1220100000
2003-10-27,1277430000
2003-10-28,1281347550
2003-10-29,1332261000
2003-10-30,1319567550
2003-10-31,1316627550
2003-11-03,1339170000
2003-11-04,1318171050
2003-11-05,1318097550
2003-11-06,1310747550
2003-11-07,1338192450
2003-11-10,1304867550
2003-11-11,1370532450
2003-11-12,1458240000
2003-11-13,1431287549
2003-11-14,1397970000
2003-11-17,1384247550
2003-11-18,1416102450
2003-11-19,1439622450
2003-11-20,1413647550
2003-11-21,1392582450
2003-11-24,1416102450
2003-11-25,1420512450
2003-11-26,1408752450
2003-11-28,1427862450
2003-12-01,1420512450
2003-12-02,1449912450
2003-12-03,1400417550
2003-12-04,1396007550
2003-12-05,1351907550
2003-12-08,1325447550
2003-12-09,1314672450
2003-12-10,1270572450
2003-12-11,1299480000
2003-12-12,1366607550
2003-12-15,1298502450
2003-12-16,1318590000
2003-12-17,1339662450
2003-12-18,1347497550
2003-12-19,1358772450
2003-12-22,1364652450
2003-12-23,1364652450
2003-12-24,1356810000
2003-12-26,1365137550
2003-12-29,1386210000
2003-12-30,1396500000
2003-12-31,1378367550
2004-01-02,1369547550
2004-01-05,1276458633
2004-01-06,1261057093
2004-01-07,1302130200
2004-01-08,1322201206
2004-01-09,1343203306
2004-01-12,1330133000
2004-01-13,1331533140
2004-01-14,1330133000
2004-01-15,1330133000
2004-01-16,1368867873
2004-01-20,1377268713
2004-01-21,1399208906
2004-01-22,1401540140
2004-01-23,1405271513
2004-01-26,1407609746
2004-01-27,1390808066
2004-01-28,1360936080
2004-01-29,1342734260
2004-01-30,1351135100
2004-02-02,1353004286
2004-02-03,1355804566
2004-02-04,1323601346
2004-02-05,1317062693
2004-02-06,1355804566
2004-02-09,1348803866
2004-02-10,1357666753
2004-02-11,1343665353
2004-02-12,1334333420
2004-02-13,1320801066
2004-02-17,1329663953
2004-02-18,1325932580
2004-02-19,1317062693
2004-02-20,1344603446
2004-02-23,1339464933
2004-02-24,1381938180
2004-02-25,1540154000
2004-02-26,1557424726
2004-02-27,1622293213
2004-03-01,1603160300
2004-03-02,1556955680
2004-03-03,1595690553
2004-03-04,1595228506
2004-03-05,1615292513
2004-03-08,1577488733
2004-03-09,1554155400
2004-03-10,1540154000
2004-03-11,1496749660
2004-03-12,1563487333
2004-03-15,1549485933
2004-03-16,1539222906
2004-03-17,1590559040
2004-03-18,1577957780
2004-03-19,1581227106
2004-03-22,1552755260
2004-03-23,1562556240
2004-03-24,1514482433
2004-03-25,1548085793
2004-03-26,1512151200
2004-03-29,1531753160
2004-03-30,1549485933
2004-03-31,1552286213
2004-04-01,1573757360
2004-04-02,1598490833
2004-04-05,1686433785
2004-04-06,1686433785
2004-04-07,1709512200
2004-04-08,1690672245
2004-04-12,1722227580
2004-04-13,1677723750
2004-04-14,1663595550
2004-04-15,1660769910
2004-04-16,1679136570
2004-04-19,1709512200
2004-04-20,1742713470
2004-04-21,1778033970
2004-04-22,1821124980
2004-04-23,1811235240
2004-04-26,1798519860
2004-04-27,1792868580
2004-04-28,1754016029
2004-04-29,1720108350
2004-04-30,1720814760
2004-05-03,1739181420
2004-05-04,1730704500
2004-05-05,1733530140
2004-05-06,1703860920
2004-05-07,1708099380
2004-05-10,1600018650
2004-05-11,1697503230
2004-05-12,1704567330
2004-05-13,1677017340
2004-05-14,1640284020
2004-05-17,1645228890
2004-05-18,1617678900
2004-05-19,1634632740
2004-05-20,1610614800
2004-05-21,1624743000
2004-05-24,1649467350
2004-05-25,1739887830
2004-05-26,1677723750
2004-05-27,1677723750
2004-05-28,1680549390
2004-06-01,1715163480
2004-06-02,1742713470
2004-06-03,1713750660
2004-06-04,1715869890
2004-06-07,1721521170
2004-06-08,1738475010
2004-06-09,1746245520
2004-06-10,1738475010
2004-06-14,1720814760
2004-06-15,1717282710
2004-06-16,1744832700
2004-06-17,1791455760
