,FDS
2003-03-17,906797775
2003-03-18,939416400
2003-03-19,1027737600
2003-03-20,1066378125
2003-03-21,1098996750
2003-03-24,1047308775
2003-03-25,1062865350
2003-03-26,1070392724
2003-03-27,1070392724
2003-03-28,1073403675
2003-03-31,1085447475
2003-04-01,1063367175
2003-04-02,1120575225
2003-04-03,1130611725
2003-04-04,1120575225
2003-04-07,1107025950
2003-04-08,1105520475
2003-04-09,1068385425
2003-04-10,1099498575
2003-04-11,1096487625
2003-04-14,1102509525
2003-04-15,1139644575
2003-04-16,1141651875
2003-04-17,1156706625
2003-04-21,1147673775
2003-04-22,1163732175
2003-04-23,1162728525
2003-04-24,1155201150
2003-04-25,1139644575
2003-04-28,1165739475
2003-04-29,1169754075
2003-04-30,1164234000
2003-05-01,1153193850
2003-05-02,1192838025
2003-05-05,1188321600
2003-05-06,1194845325
2003-05-07,1189325250
2003-05-08,1190328900
2003-05-09,1200867225
2003-05-12,1212911025
2003-05-13,1203878175
2003-05-14,1238002275
2003-05-15,1263595350
2003-05-16,1223449350
2003-05-19,1192838025
2003-05-20,1191834375
2003-05-21,1182801525
2003-05-22,1213412850
2003-05-23,1203878175
2003-05-27,1245027825
2003-05-28,1249544250
2003-05-29,1268111775
2003-05-30,1288184775
2003-06-02,1325992500
2003-06-03,1327507920
2003-06-04,1376001360
2003-06-05,1377516780
2003-06-06,1343672400
2003-06-09,1329528480
2003-06-10,1329023340
2003-06-11,1242139260
2003-06-12,1255272900
2003-06-13,1231026180
2003-06-16,1273963080
2003-06-17,1360342020
2003-06-18,1434092460
2003-06-19,1412371440
2003-06-20,1414392000
2003-06-23,1403784060
2003-06-24,1407825180
2003-06-25,1402268640
2003-06-26,1449246660
2003-06-27,1444195260
2003-06-30,1483596180
2003-07-01,1514914860
2003-07-02,1528048500
2003-07-03,1515925140
2003-07-07,1573005960
2003-07-08,1609881180
2003-07-09,1595232120
2003-07-10,1565934000
2003-07-11,1580583060
2003-07-14,1603314360
2003-07-15,1610386320
2003-07-16,1583613900
2003-07-17,1524007380
2003-07-18,1553305500
2003-07-21,1535625600
2003-07-22,1490163000
2003-07-23,1477534500
2003-07-24,1461370020
2003-07-25,1481575620
2003-07-28,1524007380
2003-07-29,1537141020
2003-07-30,1529058780
2003-07-31,1549264380
2003-08-01,1553305500
2003-08-04,1542697560
2003-08-05,1550274660
2003-08-06,1508348040
2003-08-07,1482585900
2003-08-08,1481575620
2003-08-11,1516935420
2003-08-12,1528048500
2003-08-13,1540677000
2003-08-14,1556841480
2003-08-15,1577047080
2003-08-18,1616448000
2003-08-19,1636653600
2003-08-20,1623519960
2003-08-21,1635138179
2003-08-22,1641705000
2003-08-25,1631097060
2003-08-26,1626550800
2003-08-27,1620994260
2003-08-28,1633117620
2003-08-29,1635138179
2003-09-02,1709604000
2003-09-03,1755741000
2003-09-04,1713153000
2003-09-05,1686789000
2003-09-08,1676142000
2003-09-09,1675634999
2003-09-10,1659410999
2003-09-11,1676649000
2003-09-12,1679691000
2003-09-15,1723293000
2003-09-16,1696929000
2003-09-17,1587924000
2003-09-18,1585896000
2003-09-19,1574235000
2003-09-22,1558518000
2003-09-23,1542294000
2003-09-24,1535703000
2003-09-25,1532154000
2003-09-26,1478919000
2003-09-29,1494636000
2003-09-30,1499199000
2003-10-01,1554969000
2003-10-02,1567137000
2003-10-03,1593501000
2003-10-06,1589952000
2003-10-07,1582347000
2003-10-08,1573728000
2003-10-09,1565109000
2003-10-10,1567644000
2003-10-13,1568151000
2003-10-14,1524549000
2003-10-15,1532661000
2003-10-16,1550406000
2003-10-17,1475370000
2003-10-20,1517451000
2003-10-21,1503255000
2003-10-22,1489059000
2003-10-23,1472835000
2003-10-24,1451034000
2003-10-27,1461681000
2003-10-28,1478919000
2003-10-29,1483482000
2003-10-30,1483989000
2003-10-31,1474863000
2003-11-03,1456104000
2003-11-04,1464216000
2003-11-05,1492101000
2003-11-06,1501227000
2003-11-07,1519479000
2003-11-10,1509339000
2003-11-11,1494129000
2003-11-12,1543815000
2003-11-13,1524549000
2003-11-14,1471821000
2003-11-17,1420614000
2003-11-18,1413009000
2003-11-19,1388673000
2003-11-20,1402869000
2003-11-21,1366365000
2003-11-24,1382589000
2003-11-25,1405911000
2003-11-26,1388166000
2003-11-28,1400841000
2003-12-01,2085577200
2003-12-02,2086318080
2003-12-03,2074464000
2003-12-04,2050014960
2003-12-05,2014452720
2003-12-08,1938882960
2003-12-09,1903320720
2003-12-10,1900357200
2003-12-11,2008525680
2003-12-12,2050014960
2003-12-15,2010007440
2003-12-16,1955923200
2003-12-17,1821823920
2003-12-18,1868499360
2003-12-19,1864794960
2003-12-22,1838123280
2003-12-23,1867017600
2003-12-24,1851459120
2003-12-26,1849236480
2003-12-29,1876649039
2003-12-30,1879612560
2003-12-31,1887021360
2004-01-02,1869240240
2004-01-05,1909247760
2004-01-06,1886280480
2004-01-07,1907766000
2004-01-08,1875167280
2004-01-09,1849977360
2004-01-12,1839605039
2004-01-13,1827750960
2004-01-14,1832196240
2004-01-15,1828491840
2004-01-16,1827750960
2004-01-20,1802561039
2004-01-21,1764776160
2004-01-22,1814415120
2004-01-23,1885539600
2004-01-26,1924065360
2004-01-27,1877389920
2004-01-28,1845532080
2004-01-29,1849977360
2004-01-30,1879612560
2004-02-02,1839605039
2004-02-03,1854422640
2004-02-04,1775889360
2004-02-05,1785520800
2004-02-06,1819601280
2004-02-09,1827750960
2004-02-10,1872203760
2004-02-11,1889984880
2004-02-12,1876649039
2004-02-13,1877389920
2004-02-17,1946291760
2004-02-18,1957404960
2004-02-19,1924065360
2004-02-20,1914433920
2004-02-23,1859608800
2004-02-24,1800338400
2004-02-25,1815156000
2004-02-26,1824787440
2004-02-27,1818860400
2004-03-01,1734750720
2004-03-02,1717908480
2004-03-03,1724224320
2004-03-04,1736154240
2004-03-05,1734048960
2004-03-08,1780365120
2004-03-09,1838611200
2004-03-10,1829488320
2004-03-11,1873699200
2004-03-12,1875804480
2004-03-15,1890541440
2004-03-16,1856155200
2004-03-17,1892646720
2004-03-18,1903874880
2004-03-19,1888436160
2004-03-22,1858260480
2004-03-23,1882120320
2004-03-24,1888436160
2004-03-25,1936857600
2004-03-26,1943875200
2004-03-29,1958612160
2004-03-30,1975454400
2004-03-31,1990893120
2004-04-01,1971243840
2004-04-02,1981068480
2004-04-05,2006331840
2004-04-06,1993700160
2004-04-07,1985279040
2004-04-08,1985279040
2004-04-12,1988787840
2004-04-13,1974752640
2004-04-14,1953699840
2004-04-15,1929138240
2004-04-16,1924225920
2004-04-19,1938962880
2004-04-20,1944576960
2004-04-21,1960717440
2004-04-22,1989489600
2004-04-23,1965629760
2004-04-26,1927734720
2004-04-27,1934752320
2004-04-28,1932647040
2004-04-29,1924927680
2004-04-30,1860365760
2004-05-03,1901769600
2004-05-04,1905980160
2004-05-05,1919313600
2004-05-06,1903874880
2004-05-07,1892646720
2004-05-10,1908085440
2004-05-11,1919313600
2004-05-12,1927734720
2004-05-13,1926331200
2004-05-14,1912296000
2004-05-17,1875804480
2004-05-18,1887032640
2004-05-19,1906681920
2004-05-20,1928436480
2004-05-21,1927734720
2004-05-24,2054051520
2004-05-25,2084928960
2004-05-26,2093350079
2004-05-27,2036507520
2004-05-28,2044928640
2004-06-01,1408247280
2004-06-02,1413006480
2004-06-03,1403964000
2004-06-04,1422048960
2004-06-07,1462502160
2004-06-08,1477255680
2004-06-09,1442513520
2004-06-10,1402536240
2004-06-14,1378264320
2004-06-15,1478207520
2004-06-16,1604802240
2004-06-17,1589572800
2004-06-18,1546740000
2004-06-21,1571963760
2004-06-22,1567680480
2004-06-23,1567204560
2004-06-24,1522944000
2004-06-25,1491057360
2004-06-28,1508666400
2004-06-29,1500099840
2004-06-30,1499623920
2004-07-01,1463454000
2004-07-02,1435850640
2004-07-06,1389686400
2004-07-07,1383975360
2004-07-08,1358275680
2004-07-09,1373981040
2004-07-12,1366366320
2004-07-13,1339238880
2004-07-14,1350185040
2004-07-15,1364462640
2004-07-16,1354944240
2004-07-19,1343046240
2004-07-20,1385879040
2004-07-21,1375408800
2004-07-22,1377312480
2004-07-23,1354944240
2004-07-26,1341618480
2004-07-27,1367794080
2004-07-28,1346853600
2004-07-29,1373981040
2004-07-30,1369221840
2004-08-02,1373981040
2004-08-03,1357799760
2004-08-04,1342570320
2004-08-05,1313063280
2004-08-06,1296882000
2004-08-09,1310207760
2004-08-10,1339238880
2004-08-11,1366842240
2004-08-12,1342094400
2004-08-13,1353516480
2004-08-16,1385879040
2004-08-17,1389210480
2004-08-18,1418241600
2004-08-19,1410626880
2004-08-20,1427760000
2004-08-23,1433946960
2004-08-24,1437754320
2004-08-25,1459646640
2004-08-26,1447748640
2004-08-27,1448224560
2004-08-30,1431091440
2004-08-31,1413006480
2004-09-01,1456315200
2004-09-02,1458694800
2004-09-03,1446796800
2004-09-07,1459646640
2004-09-08,1439658000
2004-09-09,1424904480
2004-09-10,1426808160
2004-09-13,1427284080
2004-09-14,1418241600
2004-09-15,1417765680
2004-09-16,1423000800
2004-09-17,1418241600
2004-09-20,1419669360
2004-09-21,1551499200
2004-09-22,1544360400
2004-09-23,1577674800
2004-09-24,1574819280
2004-09-27,1538649360
