,BAC
2004-03-29,116709999120
2004-03-30,117775712340
2004-03-31,164485928160
2004-04-01,165501524160
2004-04-02,163510956000
2004-04-05,165054661920
2004-04-06,166557744000
2004-04-07,165460900320
2004-04-08,164648423520
2004-04-12,166517120160
2004-04-13,163510956000
2004-04-14,162698479200
2004-04-15,163064093760
2004-04-16,164079689760
2004-04-19,164851542720
2004-04-20,162657855360
2004-04-21,163673451360
2004-04-22,165339028800
2004-04-23,165460900320
2004-04-26,164932790400
2004-04-27,166110881760
2004-04-28,164323432800
2004-04-29,163795322880
2004-04-30,163510956000
2004-05-03,164485928160
2004-05-04,165582771840
2004-05-05,165704643360
2004-05-06,162698479200
2004-05-07,159570443520
2004-05-10,158270480640
2004-05-11,159286076640
2004-05-12,163185965280
2004-05-13,162860974560
2004-05-14,162901598400
2004-05-17,162251616960
2004-05-18,164242185120
2004-05-19,163795322880
2004-05-20,165176533440
2004-05-21,165501524160
2004-05-24,165664019520
2004-05-25,167451468480
2004-05-26,168467064480
2004-05-27,167817083040
2004-05-28,168873302880
2004-06-01,168670183680
2004-06-02,168873302880
2004-06-03,168670183680
2004-06-04,169807651200
2004-06-07,171920090880
2004-06-08,170904494880
2004-06-09,169726403520
2004-06-10,171066990240
2004-06-14,167695211520
2004-06-15,171107614080
2004-06-16,170457632640
2004-06-17,169970146560
2004-06-18,171635724000
2004-06-21,172529448480
2004-06-22,171676347840
2004-06-23,172204457760
2004-06-24,173545044480
2004-06-25,170620128000
2004-06-28,172082586240
2004-06-29,171798219360
2004-06-30,171452982240
2004-07-01,170156244960
2004-07-02,170683044480
2004-07-06,169507876320
2004-07-07,170683044480
2004-07-08,169426830240
2004-07-09,170034675840
2004-07-12,171939258720
2004-07-13,172506581280
2004-07-14,170804613600
2004-07-15,169913106720
2004-07-16,171169320960
2004-07-19,172992857760
2004-07-20,172749719520
2004-07-21,170034675840
2004-07-22,171979781760
2004-07-23,171939258720
2004-07-26,172790242560
2004-07-27,172222920000
2004-07-28,172060827840
2004-07-29,172182396960
2004-07-30,172222920000
2004-08-02,173600703360
2004-08-03,173884364640
2004-08-04,172425535200
2004-08-05,169994152800
2004-08-06,170034675840
2004-08-09,170034675840
2004-08-10,172222920000
2004-08-11,173317042080
2004-08-12,172871288640
2004-08-13,172141873920
2004-08-16,174451687200
2004-08-17,176032085760
2004-08-18,177207253920
2004-08-19,177612484320
2004-08-20,179314452000
