,ELV
2005-08-12,44244911414
2005-08-15,44202198081
2005-08-16,44299828557
2005-08-17,44623229509
2005-08-18,44421866652
2005-08-19,44543904748
2005-08-22,44635433319
2005-08-23,44281522843
2005-08-24,44238809510
2005-08-25,44482885700
2005-08-26,44251013319
2005-08-29,44562210462
2005-08-30,44775777128
2005-08-31,45306642843
2005-09-01,45032057128
2005-09-02,45141891414
2005-09-06,46557533318
2005-09-07,46856526652
2005-09-08,46527023795
2005-09-09,46844322842
2005-09-12,46099890461
2005-09-13,44604923795
2005-09-14,44848999986
2005-09-15,45056464747
2005-09-16,45178502843
2005-09-19,44720859986
2005-09-20,44061854271
2005-09-21,44098465700
2005-09-22,44659840938
2005-09-23,45605636176
2005-09-26,45819202842
2005-09-27,45770387604
2005-09-28,45575126652
2005-09-29,45953444747
2005-09-30,49540246417
2005-10-03,49546780346
2005-10-04,49585983917
2005-10-05,48436012489
2005-10-06,48436012489
2005-10-07,48481749989
2005-10-10,48390274989
2005-10-11,48233460703
2005-10-12,47011616061
2005-10-13,46482367846
2005-10-14,48076646418
2005-10-17,48383741060
2005-10-18,48370673203
2005-10-19,49899612489
2005-10-20,49383432132
2005-10-21,50964642846
2005-10-24,51023448203
2005-10-25,49716662489
2005-10-26,46861335704
2005-10-27,47854492846
2005-10-28,48808446417
2005-10-31,48795378560
2005-11-01,49010998203
2005-11-02,48743107132
2005-11-03,48285732132
2005-11-04,47959035703
2005-11-07,47763017846
2005-11-08,47227235703
2005-11-09,46880937489
2005-11-10,48351071418
2005-11-11,48200791060
2005-11-14,48651632132
2005-11-15,49461839274
2005-11-16,49742798203
2005-11-17,50258978560
2005-11-18,50376589274
2005-11-21,51252135703
2005-11-22,51291339274
2005-11-23,51310941060
2005-11-25,51062651774
2005-11-28,49651323203
2005-11-29,50036824989
2005-11-30,50200173203
2005-12-01,50768624988
2005-12-02,50507267846
2005-12-05,50213241060
2005-12-06,51663773202
2005-12-07,50206707131
2005-12-08,50860099988
2005-12-09,51879392845
2005-12-12,51552696417
2005-12-13,52036207131
2005-12-14,51350144631
2005-12-15,51487357131
2005-12-16,51121457131
2005-12-19,50076028560
2005-12-20,50553005346
2005-12-21,50265512489
2005-12-22,50925439274
2005-12-23,51160660703
2005-12-27,50807828560
2005-12-28,51493891060
2005-12-29,52271428560
2005-12-30,52134216060
2006-01-03,51853257131
2006-01-04,51957799988
2006-01-05,51611501774
2006-01-06,51572298203
2006-01-09,50768624988
2006-01-10,50703285703
2006-01-11,50272046417
2006-01-12,50272046417
2006-01-13,48932591060
2006-01-17,49808137489
2006-01-18,50167503560
2006-01-19,49664391060
2006-01-20,47847958918
2006-01-23,46822132132
2006-01-24,47821823203
2006-01-25,47606203561
2006-01-26,48677767846
2006-01-27,49331160703
2006-01-30,49305024989
2006-01-31,50180571417
2006-02-01,50749023203
2006-02-02,50383123203
2006-02-03,50507267846
2006-02-06,49821205346
2006-02-07,50010689274
2006-02-08,49840807131
2006-02-09,50592208917
2006-02-10,50735955346
2006-02-13,50749023203
2006-02-14,51559230345
2006-02-15,51500424988
2006-02-16,50794760703
2006-02-17,50546471417
2006-02-21,50317783917
2006-02-22,51324008917
2006-02-23,50624878560
2006-02-24,50500733917
2006-02-27,50762091060
2006-02-28,50174037489
2006-03-01,50043358917
2006-03-02,49657857132
2006-03-03,49448771417
2006-03-06,49024066060
2006-03-07,49984553560
2006-03-08,50389657131
2006-03-09,50330851774
2006-03-10,50592208917
2006-03-13,50180571417
2006-03-14,50899303560
2006-03-15,51343610703
2006-03-16,51898994631
2006-03-17,52023139274
2006-03-20,52121148202
2006-03-21,51180262488
2006-03-22,51441619631
2006-03-23,51448153560
2006-03-24,51291339274
2006-03-27,50729421417
2006-03-28,50017223203
2006-03-29,50422326774
2006-03-30,50448462488
2006-03-31,48471180000
2006-04-03,47776319999
2006-04-04,48408580000
2006-04-05,48189480000
2006-04-06,47231700000
2006-04-07,47319340000
2006-04-10,46449200000
2006-04-11,45497680000
2006-04-12,45816940000
2006-04-13,45691740000
2006-04-17,45215980000
2006-04-18,45491420000
2006-04-19,44915500000
2006-04-20,45072000000
2006-04-21,44896720000
2006-04-24,44759000000
2006-04-25,44283240000
2006-04-26,44095440000
2006-04-27,42255000000
2006-04-28,44446000000
2006-05-01,44871680000
2006-05-02,45103300000
2006-05-03,42286300000
2006-05-04,43043760000
2006-05-05,43826260000
2006-05-08,44821600000
2006-05-09,43976500000
2006-05-10,44446000000
2006-05-11,44452260000
2006-05-12,44915500000
2006-05-15,45053220000
2006-05-16,45616620000
2006-05-17,45892060000
2006-05-18,45798160000
2006-05-19,45009400000
2006-05-22,44790300000
2006-05-23,44264459999
2006-05-24,44070400000
2006-05-25,45441340000
2006-05-26,45122080000
2006-05-30,44345840000
2006-05-31,44809080000
2006-06-01,45729300000
2006-06-02,45597840000
2006-06-05,44821600000
2006-06-06,44514860000
2006-06-07,44915500000
2006-06-08,45297360000
2006-06-09,44971840000
2006-06-12,44483560000
2006-06-13,44483560000
