,Log-Normal kappa=2
2014-04-01,0.006044455366402703
2014-04-02,0.001341094696535126
2014-04-03,-0.0017123521341185694
2014-04-04,-0.01413317055848157
2014-04-07,-0.008710432265210583
2014-04-08,0.006757185957556755
2014-04-09,0.009244482616980345
2014-04-10,-0.020355107803966113
2014-04-11,-0.0059150340256504085
2014-04-14,0.005688990176032418
2014-04-15,0.005008877361849387
2014-04-16,0.009439457426282612
2014-04-17,-0.000898026743111796
2014-04-21,0.0036257546584398076
2014-04-22,0.0018003031592704144
2014-04-23,-0.004076063614946714
2014-04-24,0.01912130124266592
2014-04-25,-0.0007640820569142674
2014-04-28,0.017715003401961905
2014-04-29,0.002243696082568315
2014-04-30,-0.00021788556877820392
2014-05-01,-0.0021790435940947576
2014-05-02,-0.0028420293838103987
2014-05-05,0.0038981316329127734
2014-05-06,-0.010112618243582677
2014-05-07,0.004413194520924485
2014-05-08,-0.0005937917263929786
2014-05-09,0.0005683490789997866
2014-05-12,0.008051786034990469
2014-05-13,0.0036633879004698737
2014-05-14,-0.0034490236559642363
2014-05-15,-0.011339051092281498
2014-05-16,0.004035532215587182
2014-05-19,0.005869464888604843
2014-05-20,-0.0022430912060787908
2014-05-21,0.009243375631970545
2014-05-22,0.0013666793346337562
2014-05-23,0.005005758813083285
2014-05-27,0.008217406194463595
2014-05-28,-0.0029733784376410697
2014-05-29,0.00743912796495083
2014-05-30,0.002190374846429568
2014-06-02,-0.004187319001145491
2014-06-03,0.0018592949212956524
2014-06-04,0.003430025786924224
2014-06-05,0.009300900795555574
2014-06-06,0.0020804089685484265
2014-06-09,0.00642321899348098
2014-06-10,0.0024762459423631486
2014-06-11,-0.003910523566146088
2014-06-12,-0.009537351265436329
2014-06-13,-0.0002748860834259658
2014-06-16,0.0015205063459015574
2014-06-17,-0.00021268264469352736
2014-06-18,0.005968585755165876
2014-06-19,0.0013170147032041583
2014-06-20,0.0016055828457602343
2014-06-23,0.0028524783917557865
2014-06-24,-0.006812386324991459
2014-06-25,0.003989066019253849
2014-06-26,-0.001245788410908811
2014-06-27,0.0047537604162801
2014-06-30,-0.00018632399579373112
2014-07-01,0.006802752596727874
2014-07-02,-0.00028288048381652976
2014-07-03,0.0040762777722360205
2014-07-07,0.005695898815318202
2014-07-08,-0.005926904170646265
2014-07-09,0.004196149931372462
2014-07-10,-0.004684613483076564
2014-07-11,-0.0005003994969143091
2014-07-14,0.007026125488509638
2014-07-15,-0.002965409286730738
2014-07-16,0.0033490173065842577
2014-07-17,-0.01162899587091073
2014-07-18,0.012867937395744305
2014-07-21,-0.002851294057463418
2014-07-22,0.006148966751095681
2014-07-23,0.009377711395027811
2014-07-24,-0.0012066245141859008
2014-07-25,-0.0017548228373708093
2014-07-28,0.0025667006156398615
2014-07-29,-0.004567544547485287
2014-07-30,-0.000913747562638507
2014-07-31,-0.02420710012655558
2014-08-01,-0.0015826262805162064
2014-08-04,0.0035760397253436762
2014-08-05,-0.009440179288781849
2014-08-06,0.003679169737860833
2014-08-07,-0.00272436649571407
2014-08-08,0.007899415345603558
2014-08-11,0.0036036660979056464
2014-08-12,-0.0017004062271182042
2014-08-13,0.010256539269429148
2014-08-14,0.0026170437069293036
2014-08-15,0.0008292537541247265
2014-08-18,0.010313622343334156
2014-08-19,0.008240964803087567
2014-08-20,-0.0004213527253969944
2014-08-21,0.002851876227659942
2014-08-22,0.0007182199466699591
2014-08-25,0.002308130753612437
2014-08-26,-0.0012968133159565844
2014-08-27,0.0024139356924751105
2014-08-28,-0.0010128476184184786
2014-08-29,0.0036167230292533845
2014-09-02,0.001114004819582737
2014-09-03,-0.011532875677770142
2014-09-04,-0.001258470017942361
2014-09-05,0.007819719638421195
2014-09-08,-0.003823076628292726
2014-09-09,-0.004672201347452757
2014-09-10,0.010344411818072653
2014-09-11,0.0009345844456716491
2014-09-12,-0.003101059478451246
2014-09-15,0.0004806785040710575
2014-09-16,0.00395131410259147
2014-09-17,0.002695105587558259
2014-09-18,0.0037797222416925515
2014-09-19,0.003056865396394252
2014-09-22,-0.004569047369081898
2014-09-23,-0.0006825988279040526
2014-09-24,0.002851911728263389
2014-09-25,-0.023549130325497807
2014-09-26,0.01311181832981303
2014-09-29,-0.0047685498945165316
2014-09-30,0.0008528904326242964
2014-10-01,-0.013392821601701263
2014-10-02,0.0014207094572954654
2014-10-03,0.0068654020436986225
2014-10-06,0.00043235895248653104
2014-10-07,-0.01287285678597236
2014-10-08,0.018800619813060096
2014-10-09,-0.01393981928577743
2014-10-10,-0.008744536210146557
2014-10-13,-0.011551378708100597
2014-10-14,-0.007089095239288147
2014-10-15,-0.012201093958611861
2014-10-16,-0.007399828687869109
2014-10-17,0.00937897635920224
2014-10-20,0.012463935370335024
2014-10-21,0.019411027962997
2014-10-22,0.00032297757979281473
2014-10-23,0.01227025917097511
2014-10-24,0.006484523266476997
2014-10-27,-2.173717484961378e-05
2014-10-28,0.011993776921114179
2014-10-29,0.0023381412741221
2014-10-30,0.00024795967095839037
2014-10-31,0.011982201333299573
2014-11-03,0.0017118267908712455
2014-11-04,-0.0014477564120327184
2014-11-05,0.0039003752102043467
2014-11-06,0.004976035062470561
2014-11-07,0.0022995603668845978
2014-11-10,0.0019188297452357127
2014-11-11,0.0027260844212529216
2014-11-12,0.0020472352217186123
2014-11-13,0.007408897359321575
2014-11-14,0.003754799038720316
2014-11-17,-0.0018653684707447878
2014-11-18,0.003754186292051044
2014-11-19,-0.00028431259745178433
2014-11-20,0.004982975649323366
2014-11-21,0.002093202147869391
2014-11-24,0.004892775640142106
2014-11-25,-0.005553535302242618
2014-11-26,0.00508163337450198
2014-11-28,-0.002264867962917161
2014-12-01,-0.011430498964197618
2014-12-02,0.003946512300629359
2014-12-03,0.0019450293956851414
2014-12-04,-4.346831627054729e-05
2014-12-05,-0.003733439896350018
2014-12-08,-0.012888601202996711
2014-12-09,0.004565383402374403
2014-12-10,-0.018096942928475492
2014-12-11,0.0029108416091219473
2014-12-12,-0.016701037282014955
2014-12-15,-0.008748515325225128
2014-12-16,-0.01402438643361005
2014-12-17,0.02237046417282733
2014-12-18,0.027578288448818083
2014-12-19,0.0003810726794745917
2014-12-22,0.008710780892352919
2014-12-23,0.0027025707611561317
2014-12-24,-0.00380164383845524
2014-12-26,0.00662809500277682
2014-12-29,-0.0015180595695249337
2014-12-30,-0.005805664808602911
2014-12-31,-0.013243024242106369
2015-01-02,-0.002679680335299021
2015-01-05,-0.02240857832178748
2015-01-06,-0.00732340979425858
2015-01-07,0.01178023985786345
2015-01-08,0.02562168217091353
2015-01-09,-0.007579504490980615
2015-01-12,-0.015080930864153205
2015-01-13,0.0018963724266025384
2015-01-14,-0.007814891905860795
2015-01-15,-0.015726072420993546
2015-01-16,0.007588598757134269
2015-01-20,0.007851851539904135
2015-01-21,0.006230619458851629
2015-01-22,0.02392287409228941
2015-01-23,-0.004017179741154518
2015-01-26,0.0013198192752797754
2015-01-27,-0.03021260078917914
2015-01-28,0.005783376335283441
2015-01-29,0.01661826132313342
2015-01-30,-0.012688739755776482
2015-02-02,0.013844741959341255
2015-02-03,0.009897277479608644
2015-02-04,-9.7703570567175e-05
2015-02-05,0.009502174742065106
2015-02-06,-0.0025413296612301606
2015-02-09,-0.0009380547279160668
2015-02-10,0.012273428671444285
2015-02-11,0.006436116312913127
2015-02-12,0.011430525740756503
2015-02-13,0.0077560290162616025
2015-02-17,0.00182883766973385
2015-02-18,-0.0019818283676068644
2015-02-19,-0.005521529512462827
2015-02-20,0.005427444789368364
2015-02-23,0.009948962775959396
2015-02-24,0.0003897472764637888
2015-02-25,-0.009335748455695236
2015-02-26,0.0069552426889471905
2015-02-27,-0.007235120253419417
2015-03-02,0.0053894337151374466
2015-03-03,-0.002049988529113053
2015-03-04,-0.0054538205523465035
2015-03-05,-0.003961043732945064
2015-03-06,-0.010038690219098147
2015-03-09,0.003914065874417326
2015-03-10,-0.018296379979303
2015-03-11,-0.008568341686721633
2015-03-12,0.012348164355872259
2015-03-13,-0.004691357299353281
2015-03-16,0.01264102191075517
2015-03-17,0.0018455695006917554
2015-03-18,0.011646641137093289
2015-03-19,-0.007813303041089592
2015-03-20,0.001792764504007615
2015-03-23,0.005681823338282886
2015-03-24,-0.004006795622919299
2015-03-25,-0.018783509113060037
2015-03-26,-1.580752507723625e-05
2015-03-27,-0.004955410503961695
2015-03-30,0.016527312251046648
2015-03-31,-0.010312068380144519
2015-04-01,-0.0058762366610484815
2015-04-02,0.0020443854985140843
2015-04-06,0.008859004672829544
2015-04-07,-0.0024625764973704605
2015-04-08,-0.0011040341262833718
2015-04-09,0.005187479090906758
2015-04-10,0.004685463068784667
2015-04-13,-0.002175752639052323
2015-04-14,-0.0015910616770691255
2015-04-15,0.005781446563936014
2015-04-16,-0.0031109495383844195
2015-04-17,-0.011410523411929902
2015-04-20,0.013617764766966122
2015-04-21,-0.0038515119189267625
2015-04-22,0.008166004131435946
2015-04-23,0.005231369862296394
2015-04-24,0.012438124474734134
2015-04-27,0.0026820531537278688
2015-04-28,-0.002110847490981115
2015-04-29,-0.006616552600455082
2015-04-30,-0.014317068819787853
2015-05-01,0.013837219164779447
2015-05-04,0.0017042464161110052
2015-05-05,-0.013757420926613285
2015-05-06,-0.008473781479206076
2015-05-07,0.004657734450898579
2015-05-08,0.017108141208029864
2015-05-11,-0.00883248008747875
2015-05-12,-0.0025409721584736546
2015-05-13,0.00024292998913469035
2015-05-14,0.015933721961462925
2015-05-15,-0.0013465061023365758
2015-05-18,0.004402944372125994
2015-05-19,-0.001154967695549334
2015-05-20,-0.001128441394587541
2015-05-21,0.003954203700536273
2015-05-22,-0.0013784563415544498
2015-05-26,-0.013926623361925034
2015-05-27,0.011674656101855488
2015-05-28,-0.0014538915902985304
2015-05-29,-0.009549655562488392
2015-06-01,0.002849653129765783
