,Equally-Weighted
2020-05-12,-0.01861279474272199
2020-05-13,-0.013471582500236643
2020-05-14,0.01611435837674051
2020-05-15,0.004913442456255254
2020-05-18,0.024026432861204258
2020-05-19,-0.013430276826633685
2020-05-20,0.01661779427546726
2020-05-21,-0.008959102140535887
2020-05-22,0.0009225409517883147
2020-05-26,0.01201324595019513
2020-05-27,0.011268260565149294
2020-05-28,-0.0019893519150399296
2020-05-29,0.004277228433275193
2020-06-01,-0.0027271398887836118
2020-06-02,0.00612290604421813
2020-06-03,0.008440902063599374
2020-06-04,-0.003922087162908269
2020-06-05,0.022667406073191874
2020-06-08,0.004891945232445437
2020-06-09,-0.0003571624944036053
2020-06-10,0.0007921995128672553
2020-06-11,-0.05614700380938764
2020-06-12,0.010353083533705931
2020-06-15,0.006958947135308724
2020-06-16,0.016328504407068265
2020-06-17,-0.002182541909247116
2020-06-18,-0.000641220817270152
2020-06-19,-0.006264863595199133
2020-06-22,0.007924062299999238
2020-06-23,0.005437255746240636
2020-06-24,-0.022689862405922797
2020-06-25,0.010504604111630716
2020-06-26,-0.02780091138222299
2020-06-29,0.013365088128733701
2020-06-30,0.014756276929861489
2020-07-01,0.0030668087431974145
2020-07-02,0.0038448836515553707
2020-07-06,0.018136120281160968
2020-07-07,-0.00676404652804999
2020-07-08,0.011137244809213943
2020-07-09,0.0009463108631643757
2020-07-10,0.016667107008654352
2020-07-13,-0.013265800880303949
2020-07-14,0.012391145536671411
2020-07-15,0.0010948752936083776
2020-07-16,-0.004279516573496534
2020-07-17,-0.0033023822492557206
2020-07-20,0.01720598626227474
2020-07-21,-0.0035323169681417336
2020-07-22,0.004147575961764144
2020-07-23,-0.015958784812749618
2020-07-24,-0.009972295973566882
2020-07-27,0.005397988648936436
2020-07-28,-0.005360854017178114
2020-07-29,0.008192288912058037
2020-07-30,0.0004434077476370923
2020-07-31,0.0031330384760782843
2020-08-03,0.007631804697891187
2020-08-04,0.005144770798455899
2020-08-05,0.012517193834407456
2020-08-06,0.010035818894763305
2020-08-07,-0.004862221469944151
2020-08-10,-0.0014179423304053955
2020-08-11,-0.007776738768574652
2020-08-12,0.015831197560875764
2020-08-13,0.0007515647857811304
2020-08-14,-0.0005294478359109896
2020-08-17,0.007126449490376169
2020-08-18,0.004746306992571164
2020-08-19,-0.005111989297086326
2020-08-20,0.009015845098031366
2020-08-21,0.004076431881080255
2020-08-24,0.008654767219655512
2020-08-25,0.005536713300839081
2020-08-26,0.017189883349171067
2020-08-27,0.0007219376759432984
2020-08-28,0.009303151866359808
2020-08-31,-0.00472870439455299
2020-09-01,0.015116991595786942
2020-09-02,0.013239314152961031
2020-09-03,-0.03850534700976494
2020-09-04,-0.018206246394967655
2020-09-08,-0.029097911067948134
2020-09-09,0.022715149323731504
2020-09-10,-0.01842246593586557
2020-09-11,-0.005037831040622616
2020-09-14,0.012392132057423903
2020-09-15,0.007106545789771683
2020-09-16,-0.012506850781364286
2020-09-17,-0.010474841466707898
2020-09-18,-0.009746872113101924
2020-09-21,-0.002850508266607618
2020-09-22,0.012636796508871232
2020-09-23,-0.027628729170399914
2020-09-24,0.004654393220731545
2020-09-25,0.017237468668485786
2020-09-28,0.013847017559323438
2020-09-29,-0.0005919285480587478
2020-09-30,0.010103237772727584
2020-10-01,0.010147162992707893
2020-10-02,-0.018189549521043204
2020-10-05,0.01830029923058295
2020-10-06,-0.015484129538105584
2020-10-07,0.01851739476638015
2020-10-08,0.003127089523133458
2020-10-09,0.014488375555016197
